Year,M,D,H,M,S,alpha,dec
[1900],[4],[27],[0],[0],[0.00],[16.7863343308],[-22.341905391]
[1900],[4],[28],[0],[0],[0.00],[16.7845790679],[-22.342274653]
[1900],[4],[29],[0],[0],[0.00],[16.7820487459],[-22.345130449]
[1900],[4],[30],[0],[0],[0.00],[16.7792434263],[-22.337924393]
[1900],[5],[1],[0],[0],[0.00],[16.7771080596],[-22.326889799]
[1900],[5],[2],[0],[0],[0.00],[16.7752525476],[-22.325476495]
[1900],[5],[3],[0],[0],[0.00],[16.7726839256],[-22.328707922]
[1900],[5],[4],[0],[0],[0.00],[16.7696948934],[-22.322774787]
[1900],[5],[5],[0],[0],[0.00],[16.7673036660],[-22.310980744]
[1900],[5],[6],[0],[0],[0.00],[16.7653409596],[-22.307676082]
[1900],[5],[7],[0],[0],[0.00],[16.7627595551],[-22.310966993]
[1900],[5],[8],[0],[0],[0.00],[16.7596302492],[-22.306415421]
[1900],[5],[9],[0],[0],[0.00],[16.7569968304],[-22.294247395]
[1900],[5],[10],[0],[0],[0.00],[16.7549184713],[-22.289022371]
[1900],[5],[11],[0],[0],[0.00],[16.7523445911],[-22.292038032]
[1900],[5],[12],[0],[0],[0.00],[16.7491188118],[-22.288908471]
[1900],[5],[13],[0],[0],[0.00],[16.7462622687],[-22.276755633]
[1900],[5],[14],[0],[0],[0.00],[16.7440596792],[-22.269666407]
[1900],[5],[15],[0],[0],[0.00],[16.7415073243],[-22.272074654]
[1900],[5],[16],[0],[0],[0.00],[16.7382283531],[-22.270325756]
[1900],[5],[17],[0],[0],[0.00],[16.7351733276],[-22.258569848]
[1900],[5],[18],[0],[0],[0.00],[16.7328385325],[-22.249749629]
[1900],[5],[19],[0],[0],[0.00],[16.7303163047],[-22.251234054]
[1900],[5],[20],[0],[0],[0.00],[16.7270253841],[-22.250755392]
[1900],[5],[21],[0],[0],[0.00],[16.7238020886],[-22.239748554]
[1900],[5],[22],[0],[0],[0.00],[16.7213301277],[-22.229412807]
[1900],[5],[23],[0],[0],[0.00],[16.7188416345],[-22.229695830]
[1900],[5],[24],[0],[0],[0.00],[16.7155782006],[-22.230308552]
[1900],[5],[25],[0],[0],[0.00],[16.7122223825],[-22.220365451]
[1900],[5],[26],[0],[0],[0.00],[16.7096128732],[-22.208794785]
[1900],[5],[27],[0],[0],[0.00],[16.7071586100],[-22.207649019]
[1900],[5],[28],[0],[0],[0.00],[16.7039596263],[-22.209118412]
[1900],[5],[29],[0],[0],[0.00],[16.7005125990],[-22.200495348]
[1900],[5],[30],[0],[0],[0.00],[16.6977713791],[-22.188025851]
[1900],[5],[31],[0],[0],[0.00],[16.6953496513],[-22.185285615]
[1900],[6],[1],[0],[0],[0.00],[16.6922487777],[-22.187331699]
[1900],[6],[2],[0],[0],[0.00],[16.6887555553],[-22.180219381]
[1900],[6],[3],[0],[0],[0.00],[16.6858942220],[-22.167231436]
[1900],[6],[4],[0],[0],[0.00],[16.6835007283],[-22.162807837]
[1900],[6],[5],[0],[0],[0.00],[16.6805260325],[-22.165123000]
[1900],[6],[6],[0],[0],[0.00],[16.6770328026],[-22.159642561]
[1900],[6],[7],[0],[0],[0.00],[16.6740677004],[-22.146535462]
[1900],[6],[8],[0],[0],[0.00],[16.6716960690],[-22.140420935]
[1900],[6],[9],[0],[0],[0.00],[16.6688686139],[-22.142678379]
[1900],[6],[10],[0],[0],[0.00],[16.6654210471],[-22.138868710]
[1900],[6],[11],[0],[0],[0.00],[16.6623733110],[-22.126048339]
[1900],[6],[12],[0],[0],[0.00],[16.6600157841],[-22.118312708]
[1900],[6],[13],[0],[0],[0.00],[16.6573502843],[-22.120188686]
[1900],[6],[14],[0],[0],[0.00],[16.6539919942],[-22.118014398]
[1900],[6],[15],[0],[0],[0.00],[16.6508874773],[-22.105867976]
[1900],[6],[16],[0],[0],[0.00],[16.6485367815],[-22.096668613]
[1900],[6],[17],[0],[0],[0.00],[16.6460408747],[-22.097857271]
[1900],[6],[18],[0],[0],[0.00],[16.6428130638],[-22.097207793]
[1900],[6],[19],[0],[0],[0.00],[16.6396821533],[-22.086099184]
[1900],[6],[20],[0],[0],[0.00],[16.6373332224],[-22.075662062]
[1900],[6],[21],[0],[0],[0.00],[16.6350098365],[-22.075897701]
[1900],[6],[22],[0],[0],[0.00],[16.6319507091],[-22.076593390]
[1900],[6],[23],[0],[0],[0.00],[16.6288292006],[-22.066834341]
[1900],[6],[24],[0],[0],[0.00],[16.6264815110],[-22.055455841]
[1900],[6],[25],[0],[0],[0.00],[16.6243296231],[-22.054519091]
[1900],[6],[26],[0],[0],[0.00],[16.6214745539],[-22.056326380]
[1900],[6],[27],[0],[0],[0.00],[16.6184022853],[-22.048173987]
[1900],[6],[28],[0],[0],[0.00],[16.6160603087],[-22.036199353]
[1900],[6],[29],[0],[0],[0.00],[16.6140754959],[-22.033938662]
[1900],[6],[30],[0],[0],[0.00],[16.6114544454],[-22.036576004]
[1900],[7],[1],[0],[0],[0.00],[16.6084732384],[-22.030216432]
[1900],[7],[2],[0],[0],[0.00],[16.6061455238],[-22.018028652]
[1900],[7],[3],[0],[0],[0.00],[16.6043195695],[-22.014363412]
[1900],[7],[4],[0],[0],[0.00],[16.6019556664],[-22.017520761]
[1900],[7],[5],[0],[0],[0.00],[16.5991073235],[-22.013062895]
[1900],[7],[6],[0],[0],[0.00],[16.5968064529],[-22.001062853]
[1900],[7],[7],[0],[0],[0.00],[16.5951283356],[-21.995990432]
[1900],[7],[8],[0],[0],[0.00],[16.5930373639],[-21.999341222]
[1900],[7],[9],[0],[0],[0.00],[16.5903619645],[-21.996816205]
[1900],[7],[10],[0],[0],[0.00],[16.5881044837],[-21.985400761]
[1900],[7],[11],[0],[0],[0.00],[16.5865614565],[-21.979000832]
[1900],[7],[12],[0],[0],[0.00],[16.5847515356],[-21.982217121]
[1900],[7],[13],[0],[0],[0.00],[16.5822867644],[-21.981574645]
[1900],[7],[14],[0],[0],[0.00],[16.5800929107],[-21.971123386]
[1900],[7],[15],[0],[0],[0.00],[16.5786722119],[-21.963547345]
[1900],[7],[16],[0],[0],[0.00],[16.5771448698],[-21.966324843]
[1900],[7],[17],[0],[0],[0.00],[16.5749249864],[-21.967439557]
[1900],[7],[18],[0],[0],[0.00],[16.5728199332],[-21.958297661]
[1900],[7],[19],[0],[0],[0.00],[16.5715111987],[-21.949775694]
[1900],[7],[20],[0],[0],[0.00],[16.5702629081],[-21.951843667]
[1900],[7],[21],[0],[0],[0.00],[16.5683197758],[-21.954524758]
[1900],[7],[22],[0],[0],[0.00],[16.5663328890],[-21.946988999]
[1900],[7],[23],[0],[0],[0.00],[16.5651299850],[-21.937805672]
[1900],[7],[24],[0],[0],[0.00],[16.5641529507],[-21.938947005]
[1900],[7],[25],[0],[0],[0.00],[16.5625139061],[-21.942942983]
[1900],[7],[26],[0],[0],[0.00],[16.5606779710],[-21.937246284]
