planet,file,planetil,dates
S,so0013,so0,2002-2002
S,so0014,so0,2002-2002
S,so0015,so0,2002-2003
S,so0016,so0,1998-2003
S,so0017,so0,2003-2003
S,so0018,so0,1998-1999
S,so0019,so0,1904-1989
S,so0020,so0,2003-2003
S,so0021,so0,2003-2003
S,so0022,so0,2004-2004
S,so0023,so0,2001-2005
S,so0024,so0,1994-2005
S,so0025,so0,2003-2005
S,so0026,so0,2005-2006
S,so0028,so0,2006-2006
S,so0029,so0,2005-2006
S,so0030,so0,2006-2007
S,so0031,so0,2007-2007
S,so0032,so0,2007-2007
S,so0033,so0,2008-2008
S,so0034,so0,2000-2009
S,so0035,so0,2008-2009
S,so0036,so0,2010-2011
S,so0037,so0,2010-2010
S,so0038,so0,2010-2011
S,so0040,so0,2012-2012
S,so0041,so0,2011-2014
S,so0042,so0,2000-2012
S,so0043,so0,2011-2014
S,so0044,so0,1996-2014
S,so0045,so0,2013-2014
S,so0046,so0,2002-2004
S,so0047,so0,2004-2004
S,so0048,so0,2015-2016
S,so0049,so0,2016-2017
S,so0050,so0,2019
S,so0051,so0,2014-2017
S,so0052,so0,"1982,2004-2021"
S,so0053,so0,2017-2019
S,so0054,so0,2014-2019
U,um0001,um0,1983-1988
U,um0002,um0,1989-1994
U,um0003,um0,1995-1998
U,um0004,um0,1999-1999
U,um0005,um0,2001-2001
U,um0006,um0,1998-1999
U,um0007,um0,1982-1998
U,um0008,um0,2003-2003
U,um0009,um0,1987-1994
U,um0010,um0,1987-1994
U,um0011,um0,1987-1994
U,um0012,um0,1990-1990
U,um0013,um0,1990-1991
U,um0014,um0,1926-1926
U,um0015,um0,1984-1986
U,um0016,um0,1975-1977
U,um0017,um0,1975-1975
U,um0018,um0,1979-1983
U,um0019,um0,1982-1985
U,um0020,um0,1981-1985
U,um0021,um0,1980-1980
U,um0022,um0,1977-1979
U,um0023,um0,1981-1981
U,um0024,um0,1980-1980
U,um0025,um0,1966-1967
U,um0026,um0,1949-1949
U,um0027,um0,1964-1977
U,um0028,um0,1947-1948
U,um0029,um0,1948-1973
U,um0030,um0,1948-1966
U,um0031,um0,1948-1964
U,um0032,um0,1847-1871
U,um0033,um0,1877-1877
U,um0034,um0,1977-1882
U,um0035,um0,1974-1974
U,um0036,um0,1966-1966
U,um0037,um0,1966-1966
U,um0038,um0,1927-1927
U,um0039,um0,1970-1971
U,um0040,um0,1973-1974
U,um0041,um0,1919-1922
U,um0042,um0,1968-1969
U,um0043,um0,1908-1925
U,um0044,um0,1883-1884
U,um0045,um0,1887-1887
U,um0046,um0,1900-1907
U,um0047,um0,1985-1986
U,um0048,um0,1894-1897
U,um0049,um0,1894-1895
U,um0050,um0,1896-1898
U,um0051,um0,1898-1901
U,um0052,um0,1903-1903
U,um0053,um0,1904-1914
U,um0054,um0,1900-1900
U,um0055,um0,1901-1901
U,um0056,um0,1902-1902
U,um0057,um0,1908-1910
U,um0058,um0,1908-1910
U,um0059,um0,1920-1922
U,um0060,um0,1876-1878
U,um0061,um0,1907-1918
U,um0062,um0,1880-1892
U,um0063,um0,1914-1914
U,um0064,um0,1911-1911
U,um0065,um0,1907-1907
U,um0066,um0,1904-1904
U,um0067,um0,1903-1903
U,um0068,um0,1913-1914
U,um0069,um0,1880-1880
U,um0070,um0,1875-1879
U,um0071,um0,1874-1874
U,um0072,um0,1872-1874
U,um0073,um0,1863-1865
