[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1921],[9],[3],[0],[0],[0.00],[9.2045243824],[16.249802594]
[1921],[9],[4],[0],[0],[0.00],[9.2066604208],[16.243462613]
[1921],[9],[5],[0],[0],[0.00],[9.2086416093],[16.235411424]
[1921],[9],[6],[0],[0],[0.00],[9.2107404053],[16.223820032]
[1921],[9],[7],[0],[0],[0.00],[9.2130908307],[16.210602058]
[1921],[9],[8],[0],[0],[0.00],[9.2155486710],[16.199432508]
[1921],[9],[9],[0],[0],[0.00],[9.2178408593],[16.191933255]
[1921],[9],[10],[0],[0],[0.00],[9.2198486980],[16.185988962]
[1921],[9],[11],[0],[0],[0.00],[9.2217305676],[16.177943947]
[1921],[9],[12],[0],[0],[0.00],[9.2237569315],[16.166399549]
[1921],[9],[13],[0],[0],[0.00],[9.2260289217],[16.153671955]
[1921],[9],[14],[0],[0],[0.00],[9.2283727456],[16.143392520]
[1921],[9],[15],[0],[0],[0.00],[9.2305198411],[16.136737870]
[1921],[9],[16],[0],[0],[0.00],[9.2323854391],[16.131207869]
[1921],[9],[17],[0],[0],[0.00],[9.2341560890],[16.123221851]
[1921],[9],[18],[0],[0],[0.00],[9.2360954735],[16.111838572]
[1921],[9],[19],[0],[0],[0.00],[9.2382700401],[16.099739670]
[1921],[9],[20],[0],[0],[0.00],[9.2404794387],[16.090450098]
[1921],[9],[21],[0],[0],[0.00],[9.2424642668],[16.084678195]
[1921],[9],[22],[0],[0],[0.00],[9.2441751013],[16.079579806]
[1921],[9],[23],[0],[0],[0.00],[9.2458233385],[16.071711762]
[1921],[9],[24],[0],[0],[0.00],[9.2476612198],[16.060609773]
[1921],[9],[25],[0],[0],[0.00],[9.2497193021],[16.049277248]
[1921],[9],[26],[0],[0],[0.00],[9.2517741376],[16.041071187]
[1921],[9],[27],[0],[0],[0.00],[9.2535799717],[16.036216299]
[1921],[9],[28],[0],[0],[0.00],[9.2551235500],[16.031571324]
[1921],[9],[29],[0],[0],[0.00],[9.2566373937],[16.023891172]
[1921],[9],[30],[0],[0],[0.00],[9.2583578758],[16.013199899]
[1921],[10],[1],[0],[0],[0.00],[9.2602791212],[16.002772798]
[1921],[10],[2],[0],[0],[0.00],[9.2621585153],[15.995739241]
[1921],[10],[3],[0],[0],[0.00],[9.2637683159],[15.991832587]
[1921],[10],[4],[0],[0],[0.00],[9.2651317796],[15.987666393]
[1921],[10],[5],[0],[0],[0.00],[9.2664986175],[15.980250954]
[1921],[10],[6],[0],[0],[0.00],[9.2680853077],[15.970101438]
[1921],[10],[7],[0],[0],[0.00],[9.2698497192],[15.960709751]
[1921],[10],[8],[0],[0],[0.00],[9.2715343770],[15.954921273]
[1921],[10],[9],[0],[0],[0.00],[9.2729336031],[15.951978908]
[1921],[10],[10],[0],[0],[0.00],[9.2741068251],[15.948308166]
[1921],[10],[11],[0],[0],[0.00],[9.2753165996],[15.941228864]
[1921],[10],[12],[0],[0],[0.00],[9.2767556631],[15.931742317]
[1921],[10],[13],[0],[0],[0.00],[9.2783462526],[15.923498114]
[1921],[10],[14],[0],[0],[0.00],[9.2798204405],[15.919006141]
[1921],[10],[15],[0],[0],[0.00],[9.2809981779],[15.917028583]
[1921],[10],[16],[0],[0],[0.00],[9.2819740399],[15.913864042]
[1921],[10],[17],[0],[0],[0.00],[9.2830188305],[15.907191208]
[1921],[10],[18],[0],[0],[0.00],[9.2842980933],[15.898483980]
[1921],[10],[19],[0],[0],[0.00],[9.2856996713],[15.891487208]
[1921],[10],[20],[0],[0],[0.00],[9.2869497902],[15.888328959]
[1921],[10],[21],[0],[0],[0.00],[9.2878971790],[15.887308818]
[1921],[10],[22],[0],[0],[0.00],[9.2886699475],[15.884662408]
[1921],[10],[23],[0],[0],[0.00],[9.2895424021],[15.878470857]
[1921],[10],[24],[0],[0],[0.00],[9.2906498894],[15.870658669]
[1921],[10],[25],[0],[0],[0.00],[9.2918476788],[15.865001149]
[1921],[10],[26],[0],[0],[0.00],[9.2928608720],[15.863204292]
[1921],[10],[27],[0],[0],[0.00],[9.2935696778],[15.863131259]
[1921],[10],[28],[0],[0],[0.00],[9.2941336226],[15.861020052]
[1921],[10],[29],[0],[0],[0.00],[9.2948257900],[15.855390792]
[1921],[10],[30],[0],[0],[0.00],[9.2957489393],[15.848587993]
[1921],[10],[31],[0],[0],[0.00],[9.2967282626],[15.844350915]
[1921],[11],[1],[0],[0],[0.00],[9.2974926162],[15.843929803]
[1921],[11],[2],[0],[0],[0.00],[9.2979559856],[15.844785159]
[1921],[11],[3],[0],[0],[0.00],[9.2983067591],[15.843223118]
[1921],[11],[4],[0],[0],[0.00],[9.2988121437],[15.838231939]
[1921],[11],[5],[0],[0],[0.00],[9.2995404773],[15.832537956]
[1921],[11],[6],[0],[0],[0.00],[9.3002898444],[15.829778199]
[1921],[11],[7],[0],[0],[0.00],[9.3007975919],[15.830721748]
[1921],[11],[8],[0],[0],[0.00],[9.3010130869],[15.832468319]
[1921],[11],[9],[0],[0],[0.00],[9.3011503840],[15.831458047]
[1921],[11],[10],[0],[0],[0.00],[9.3014660971],[15.827169017]
[1921],[11],[11],[0],[0],[0.00],[9.3019927537],[15.822664444]
[1921],[11],[12],[0],[0],[0.00],[9.3025046673],[15.821414381]
[1921],[11],[13],[0],[0],[0.00],[9.3027522189],[15.823689785]
[1921],[11],[14],[0],[0],[0.00],[9.3027211441],[15.826278306]
[1921],[11],[15],[0],[0],[0.00],[9.3026475259],[15.825818094]
[1921],[11],[16],[0],[0],[0.00],[9.3027728472],[15.822290047]
[1921],[11],[17],[0],[0],[0.00],[9.3030930554],[15.819042712]
[1921],[11],[18],[0],[0],[0.00],[9.3033624533],[15.819316706]
[1921],[11],[19],[0],[0],[0.00],[9.3033487955],[15.822876665]
[1921],[11],[20],[0],[0],[0.00],[9.3030745532],[15.826252944]
[1921],[11],[21],[0],[0],[0.00],[9.3027938070],[15.826342718]
[1921],[11],[22],[0],[0],[0.00],[9.3027286141],[15.823633655]
[1921],[11],[23],[0],[0],[0.00],[9.3028382147],[15.821702253]
[1921],[11],[24],[0],[0],[0.00],[9.3028610699],[15.823500493]
[1921],[11],[25],[0],[0],[0.00],[9.3025864561],[15.828287138]
[1921],[11],[26],[0],[0],[0.00],[9.3020734422],[15.832394645]
[1921],[11],[27],[0],[0],[0.00],[9.3015898904],[15.833035562]
[1921],[11],[28],[0],[0],[0.00],[9.3013345889],[15.831198642]
[1921],[11],[29],[0],[0],[0.00],[9.3012306939],[15.830625919]
[1921],[11],[30],[0],[0],[0.00],[9.3010053790],[15.833926041]
[1921],[12],[1],[0],[0],[0.00],[9.3004732982],[15.839861501]
[1921],[12],[2],[0],[0],[0.00],[9.2997293684],[15.844630530]
[1921],[12],[3],[0],[0],[0.00],[9.2990507240],[15.845812486]
[1921],[12],[4],[0],[0],[0.00],[9.2986093371],[15.844882837]
[1921],[12],[5],[0],[0],[0.00],[9.2982934050],[15.845683764]
[1921],[12],[6],[0],[0],[0.00],[9.2978234458],[15.850432292]
[1921],[12],[7],[0],[0],[0.00],[9.2970427942],[15.857413959]
[1921],[12],[8],[0],[0],[0.00],[9.2960807219],[15.862759862]
[1921],[12],[9],[0],[0],[0.00],[9.2952188395],[15.864461641]
[1921],[12],[10],[0],[0],[0.00],[9.2945991191],[15.864458266]
