Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
2017-02-27,22.8753549577,-8.088375170,22.8753549915,-8.088375223,0.0018070432806651334,-0.00019079999660220892
2017-02-28,22.8776110252,-8.078041936,22.8776111621,-8.078044252,0.00731924748880605,-0.008337599999208578
2017-03-01,22.8797404586,-8.065344963,22.8797405566,-8.065347136,0.005239655293782833,-0.007822800001378027
2017-03-02,22.8819894979,-8.048594530,22.8819894552,-8.048594304,-0.0022830872147129064,0.0008136000033687196
2017-03-03,22.8844805321,-8.030311864,22.8844803928,-8.030309475,-0.007448439528200143,0.008600400001768094
2017-03-04,22.8870844597,-8.014615892,22.8870843682,-8.014613821,-0.004892738880876219,0.007455600002970186
2017-03-05,22.8895544192,-8.002948306,22.8895544706,-8.002948703,0.002748568207883786,-0.0014291999967497304
2017-03-06,22.8917816701,-7.992579842,22.8917818113,-7.992582294,0.0075507333897241275,-0.008827200001348956
2017-03-07,22.8939077425,-7.979447561,22.8939078270,-7.979449522,0.004518820602090048,-0.0070596000021794225
2017-03-08,22.8961767559,-7.962376393,22.8961766958,-7.962375827,-0.003214111871617893,0.0020376000023247798
2017-03-09,22.8986813222,-7.944304667,22.8986811797,-7.944302163,-0.007621150366652807,0.009014400000850742
2017-03-10,22.9012659053,-7.929237240,22.9012658282,-7.929235398,-0.004123594614119024,0.006631199998707871
2017-03-11,22.9036880711,-7.918088413,22.9036881396,-7.918089146,0.0036637338346371022,-0.0026387999977117715
2017-03-12,22.9058698036,-7.907735343,22.9058699469,-7.907737889,0.007664616637604644,-0.009165600000571317
2017-03-13,22.9079778206,-7.894263317,22.9079778900,-7.894265033,0.003712084935528625,-0.006177599999546146
2017-03-14,22.9102498217,-7.877033586,22.9102497450,-7.877032690,-0.004102719814677849,0.0032255999983021866
2017-03-15,22.9127470927,-7.859352405,22.9127469493,-7.859349829,-0.007670862085862334,0.00927359999991495
2017-03-16,22.9152904217,-7.845041700,22.9152903604,-7.845040118,-0.003279219310733656,0.005695200001198941
2017-03-17,22.9176459329,-7.834471656,22.9176460175,-7.834472711,0.004525758588576243,-0.0037980000008985826
2017-03-18,22.9197674784,-7.824178918,22.9197676213,-7.824181515,0.007644762125657569,-0.009349199999775237
2017-03-19,22.9218438675,-7.810465186,22.9218439204,-7.810466627,0.0028300993715034686,-0.005187600000766679
2017-03-20,22.9241021862,-7.793240971,22.9241020940,-7.793239761,-0.004932815052403276,0.004356000002303517
2017-03-21,22.9265713948,-7.776124858,22.9265712530,-7.776122253,-0.007586786797894071,0.00937800000215816
2017-03-22,22.9290517918,-7.762689542,22.9290517475,-7.762688247,-0.0023702778071023416,0.004662000002042532
2017-03-23,22.9313220848,-7.752753105,22.9313221843,-7.752754464,0.005323887610418468,-0.004892399998723818
2017-03-24,22.9333686609,-7.742570373,22.9333688011,-7.742572976,0.007501779718579212,-0.009370799998364987
2017-03-25,22.9353990304,-7.728724057,22.9353990658,-7.728725200,0.0018942348086652264,-0.004114800001531194
2017-03-26,22.9376257249,-7.711677501,22.9376256185,-7.711675997,-0.005693635954876097,0.005414399997150099
2017-03-27,22.9400449733,-7.695300312,22.9400448353,-7.695297724,-0.007384888719229408,0.009316800000291892
2017-03-28,22.9424401351,-7.682853354,22.9424401088,-7.682852369,-0.0014074512449766272,0.003545999999232663
2017-03-29,22.9446063224,-7.673603710,22.9446064353,-7.673605351,0.0060420038880645895,-0.005907599999588342
2017-03-30,22.9465625998,-7.663587975,22.9465627349,-7.663590540,0.007230238507837374,-0.009233999999835873
2017-03-31,22.9485315246,-7.649729938,22.9485315417,-7.649730762,0.0009151820667603616,-0.0029663999992379786
2017-04-01,22.9507074511,-7.633039824,22.9507073321,-7.633038052,-0.006369060063130802,0.006379200000239393
2017-04-02,22.9530541029,-7.617572039,22.9530539712,-7.617569510,-0.00704903798877011,0.009104399998705048
2017-04-03,22.9553418176,-7.606217456,22.9553418099,-7.606216797,-0.0004121415809063159,0.002372400001249275
2017-04-04,22.9573857406,-7.597702070,22.9573858652,-7.597703965,0.006669330306678608,-0.006821999998507522
2017-04-05,22.9592372920,-7.587911470,22.9592374197,-7.587913952,0.006835416291187264,-0.008935200000692589
2017-04-06,22.9611302372,-7.574164956,22.9611302353,-7.574165447,-0.00010170473599920734,-0.0017676000023669758
2017-04-07,22.9632374550,-7.558004394,22.9632373252,-7.558002383,-0.00694830556661153,0.007239600001085478
2017-04-08,22.9654908896,-7.543599427,22.9654907665,-7.543597003,-0.0065898684844030095,0.008726399999403611
2017-04-09,22.9676518813,-7.533419133,22.9676518927,-7.533418812,0.0006102865361590436,0.0011555999996915034
2017-04-10,22.9695587499,-7.525668173,22.9695588843,-7.525670290,0.007195085140668833,-0.00762120000068478
2017-04-11,22.9712942461,-7.516152094,22.9712943641,-7.516154451,0.006317251891871819,-0.00848520000182873
2017-04-12,22.9730991652,-7.502634555,22.9730991442,-7.502634704,-0.0011242917585801257,-0.0005363999996177427
2017-04-13,22.9751218434,-7.487165360,22.9751217049,-7.487163145,-0.007415234556549002,0.00797399999790116
2017-04-14,22.9772635994,-7.473957900,22.9772634870,-7.473955621,-0.006018033316531639,0.00820440000097733
2017-04-15,22.9792808785,-7.465014757,22.9792809090,-7.465014781,0.0016330406886607368,-8.640000075388343e-05
2017-04-16,22.9810378966,-7.458048120,22.9810380386,-7.458050423,0.007603130056477043,-0.008290800001731213
2017-04-17,22.9826471993,-7.448856231,22.9826473055,-7.448858422,0.00568640379414972,-0.007887600000344719
2017-04-18,22.9843523632,-7.435688572,22.9843523231,-7.435688375,-0.002147190492428046,0.0007092000011255095
2017-04-19,22.9862745867,-7.421070111,22.9862744417,-7.421067729,-0.007764413700489388,0.008575199999683036
2017-04-20,22.9882862910,-7.409184972,22.9882861914,-7.409182878,-0.005333493124398226,0.007538400000228762
2017-04-21,22.9901432634,-7.401531917,22.9901433128,-7.401532286,0.0026453728342918908,-0.0013284000011992703
2017-04-22,22.9917379530,-7.395367852,22.9917381004,-7.395370302,0.007893388530848722,-0.008820000000753225
2017-04-23,22.9932107135,-7.386556880,22.9932108059,-7.386558867,0.004948192914439371,-0.007153200000331594
2017-04-24,22.9948036505,-7.373867599,22.9948035918,-7.373867059,-0.003143585102512186,0.0019440000009751657
2017-04-25,22.9966087179,-7.360258880,22.9966085688,-7.360256372,-0.007985058537469692,0.009028799998844761
2017-04-26,22.9984716744,-7.349812425,22.9984715895,-7.349810554,-0.004546931178519635,0.0067355999977536385
2017-04-27,23.0001519207,-7.343494074,23.0001519884,-7.343494783,0.003625814046919374,-0.0025524000001553304
2017-04-28,23.0015720417,-7.338150505,23.0015721920,-7.338153060,0.00804972520950861,-0.009198000000054662
2017-04-29,23.0028978111,-7.329783961,23.0028978879,-7.329785709,0.004113310296711943,-0.00629279999948551
2017-04-30,23.0043657242,-7.317706407,23.0043656477,-7.317705531,-0.0040973535865415885,0.003153600001937207
2017-05-01,23.0060369743,-7.305261124,23.0060368236,-7.305258532,-0.008071743614354917,0.009331200001483353
2017-05-02,23.0077334395,-7.296354960,23.0077333711,-7.296353344,-0.003663691276126168,0.005817600001734036
2017-05-03,23.0092224247,-7.291400267,23.0092225098,-7.291401305,0.00455823940343436,-0.003736799999032314
2017-05-04,23.0104580938,-7.286885715,23.0104582443,-7.286888332,0.008061362286288476,-0.00942119999933766
2017-05-05,23.0116288211,-7.279022167,23.0116288808,-7.279023645,0.0031978190479082158,-0.005320799998997927
2017-05-06,23.0129613776,-7.267680348,23.0129612843,-7.267679150,-0.004997722837100734,0.004312799998729133
2017-05-07,23.0144850691,-7.256532009,23.0144849193,-7.256529378,-0.008024410097892872,0.009471600000310332
2017-05-08,23.0160009057,-7.249239959,23.0160008550,-7.249238627,-0.002715915673473263,0.004795199997076338
2017-05-09,23.0172880701,-7.245652778,23.0172881713,-7.245654129,0.005421160837219206,-0.004863599999538337
2017-05-10,23.0183330481,-7.241960764,23.0183331964,-7.241963399,0.007944315753200263,-0.009486000001501793
2017-05-11,23.0193434797,-7.234651486,23.0193435210,-7.234652667,0.0022124446521084224,-0.004251600000060307
2017-05-12,23.0205323722,-7.224160676,23.0205322634,-7.224159175,-0.005828561366719707,0.0054036000026513875
2017-05-13,23.0218965159,-7.214426639,23.0218963697,-7.214424013,-0.007832297829015355,0.009453599998821005
2017-05-14,23.0232194291,-7.208802612,23.0232193974,-7.208801589,-0.0016982690094245333,0.0036828000009592188
2017-05-15,23.0242959927,-7.206572643,23.0242961086,-7.206574286,0.006209159083633278,-0.005914800000184073
2017-05-16,23.0251452797,-7.203693650,23.0251454231,-7.203696256,0.007682476883231158,-0.009381599999258583
2017-05-17,23.0259906053,-7.196993387,23.0259906272,-7.196994249,0.0011732826239096515,-0.0031032000009645344
2017-05-18,23.0270274661,-7.187468745,23.0270273435,-7.187466965,-0.006568377651620684,0.006408000002622316
2017-05-19,23.0282201124,-7.179257258,23.0282199724,-7.179254684,-0.007500729729577494,0.00926639999931922
2017-05-20,23.0293382895,-7.175341732,23.0293382775,-7.175341037,-0.000642925272846376,0.002501999999182658
2017-05-21,23.0301961754,-7.174450590,23.0301963041,-7.174452498,0.006895386385699267,-0.006868799999182329
2017-05-22,23.0308451806,-7.172376794,23.0308453166,-7.172379326,0.007286533313774661,-0.009115199999598644
2017-05-23,23.0315204644,-7.166346201,23.0315204663,-7.166346726,0.0001017986074892381,-0.001889999999704628
2017-05-24,23.0323965826,-7.157903028,23.0323964482,-7.157900999,-0.007201038062156569,0.007304400000052169
