Time,Alpha_1,Delta_1,Alpha_2,Delta_2,RA_Residual,Dec_Residual
1986-12-11,17.4561790611,-23.343096064,17.4561792757,-23.343098835,0.010639873291599837,-0.009975599994049844
1986-12-12,17.4605128860,-23.340956696,17.4605130206,-23.340958849,0.006673578874766627,-0.007750800001815605
1986-12-13,17.4651414457,-23.339549805,17.4651416508,-23.339550933,0.010169134706745174,-0.004060800003458098
1986-12-14,17.4699529416,-23.341326086,17.4699532588,-23.341327993,0.015726993547982272,-0.006865200005279348
1986-12-15,17.4747451926,-23.347154702,17.4747454752,-23.347158054,0.014010886530688474,-0.012067200000842604
1986-12-16,17.4793248765,-23.355874029,17.4793250336,-23.355876877,0.007788271874186826,-0.010252800004195706
1986-12-17,17.4836044416,-23.364853769,17.4836045864,-23.364854685,0.007178010401903152,-0.0032976000042594933
1986-12-18,17.4876465861,-23.371316669,17.4876468343,-23.371317155,0.012303145032512485,-0.0017496000040750914
1986-12-19,17.4916318471,-23.373740632,17.4916321199,-23.373742618,0.013522306924944428,-0.007149600003231171
1986-12-20,17.4957667224,-23.372608781,17.4957668971,-23.372611555,0.008659703830723326,-0.00998639999494344
1986-12-21,17.5001807227,-23.370147457,17.5001808580,-23.370149218,0.0067068097029770665,-0.006339600000160317
1986-12-22,17.5048629975,-23.369219896,17.5048632376,-23.369221041,0.011901820335924051,-0.00412199999573204
1986-12-23,17.5096673374,-23.371922058,17.5096676593,-23.371924427,0.0159563426996654,-0.008528400002205672
1986-12-24,17.5143829797,-23.378541512,17.5143832221,-23.378544937,0.012014987170882303,-0.012329999997007235
1986-12-25,17.5188386933,-23.387392356,17.5188388239,-23.387394631,0.006472988884623299,-0.008189999999785869
1986-12-26,17.5229891280,-23.395645099,17.5229892881,-23.395645593,0.007934616829678458,-0.001778400006458014
1986-12-27,17.5269378225,-23.400754272,17.5269380776,-23.400754956,0.012642365125771535,-0.0024623999991035816
1986-12-28,17.5308839065,-23.401740321,17.5308841443,-23.401742439,0.0117849157078893,-0.007624800004180088
1986-12-29,17.5350212217,-23.399662452,17.5350213708,-23.399664662,0.007389228426328644,-0.007955999993214391
1986-12-30,17.5394421463,-23.397074005,17.5394423185,-23.397075068,0.00853420529899133,-0.0038267999968866206
1986-12-31,17.5440924089,-23.396760039,17.5440927063,-23.396761143,0.014739132815196511,-0.00397439999630933
1987-01-01,17.5487971829,-23.400368918,17.5487975067,-23.400371435,0.016047078563329455,-0.009061199995130664
1987-01-02,17.5533463869,-23.407588713,17.5533465992,-23.407591381,0.010520719532111469,-0.009604800001739022
1987-01-03,17.5575986418,-23.416284419,17.5575988014,-23.416285244,0.007908603461607768,-0.0029700000027332862
1987-01-04,17.5615524273,-23.423554822,17.5615526819,-23.423554545,0.012615411900047313,0.0009972000057700825
1987-01-05,17.5653470295,-23.427191662,17.5653473537,-23.427192650,0.016063645286073923,-0.003556800000126259
1987-01-06,17.5691917575,-23.426790203,17.5691920006,-23.426792603,0.012045293061780293,-0.008639999998649728
1987-01-07,17.5732603556,-23.423940771,17.5732605144,-23.423942546,0.007868505878793846,-0.0063899999915406624
1987-01-08,17.5776046335,-23.421424839,17.5776048672,-23.421425492,0.011580005051675469,-0.0023508000026595255
1987-01-09,17.5821291537,-23.421837257,17.5821295105,-23.421838677,0.017679644299435485,-0.0051120000009063915
1987-01-10,17.5866379036,-23.426307636,17.5866382295,-23.426310605,0.0161479857222805,-0.010688400001868104
1987-01-11,17.5909304270,-23.433932989,17.5909306195,-23.433935503,0.009537612672859576,-0.009050400007026838
1987-01-12,17.5949014212,-23.442211088,17.5949015946,-23.442211578,0.008590745213079648,-0.0017639999924767835
1987-01-13,17.5985939832,-23.448285784,17.5985942624,-23.448285774,0.013831751813954673,3.6000002978653356e-05
1987-01-14,17.6021779395,-23.450384793,17.6021782467,-23.450386371,0.01521864853496805,-0.0056807999968100376
1987-01-15,17.6058638252,-23.448707449,17.6058640299,-23.448709914,0.01014094050635373,-0.008873999992431436
1987-01-16,17.6097971467,-23.445313019,17.6097973091,-23.445314417,0.00804558397612957,-0.005032799994353354
1987-01-17,17.6139863610,-23.443089164,17.6139866377,-23.443089853,0.01370843944876663,-0.0024804000005929083
1987-01-18,17.6182988209,-23.444325687,17.6182991913,-23.444327676,0.018350409967169523,-0.007160400004124767
1987-01-19,17.6225255820,-23.449583321,17.6225258704,-23.449586553,0.01428738556723878,-0.011635200003468071
1987-01-20,17.6264842270,-23.457402843,17.6264843872,-23.457404972,0.00793586579372172,-0.007664399994666837
1987-01-21,17.6301100074,-23.465017172,17.6301101852,-23.465017377,0.008807213101188514,-0.0007379999971135476
1987-01-22,17.6334888635,-23.469735707,17.6334891380,-23.469735983,0.013596701820826472,-0.000993599992682448
1987-01-23,17.6368139738,-23.470300561,17.6368142342,-23.470302311,0.01289823665190116,-0.0063000000096735675
1987-01-24,17.6402879019,-23.467513131,17.6402880682,-23.467515028,0.008237411971749866,-0.006829200002300695
1987-01-25,17.6440211053,-23.463820325,17.6440212851,-23.463821024,0.008906362629557298,-0.0025164000035715617
1987-01-26,17.6479776575,-23.462091766,17.6479779574,-23.462092399,0.014855690226795447,-0.0022787999967022188
1987-01-27,17.6519932158,-23.464206875,17.6519935469,-23.464208869,0.01640093452005829,-0.007178400005614094
1987-01-28,17.6558551604,-23.470129998,17.6558553831,-23.470132265,0.011030879409554299,-0.008161199997402946
1987-01-29,17.6594069738,-23.477910545,17.6594071301,-23.477911111,0.007741467411388789,-0.0020376000023247798
1987-01-30,17.6626268979,-23.484634816,17.6626271289,-23.484634183,0.011440740739052858,0.0022787999967022188
1987-01-31,17.6656400147,-23.487887876,17.6656403113,-23.487888249,0.01468935071950763,-0.0013428000087856162
1987-02-01,17.6686549941,-23.486980459,17.6686552232,-23.486982123,0.011346437646160439,-0.005990399996846918
1987-02-02,17.6718580317,-23.483289838,17.6718581886,-23.483290970,0.007770868196344824,-0.00407519999185979
1987-02-03,17.6753197532,-23.479552290,17.6753199859,-23.479552393,0.011525380917273707,-0.00037079999231082184
1987-02-04,17.6789612343,-23.478499814,17.6789615907,-23.478500651,0.017652249724825618,-0.0030132000063076703
1987-02-05,17.6825931269,-23.481521080,17.6825934603,-23.481523470,0.01651269736150914,-0.008603999995671074
1987-02-06,17.6860079794,-23.487974914,17.6860081817,-23.487976998,0.01001906170991931,-0.007502400006842436
1987-02-07,17.6890826040,-23.495486481,17.6890827736,-23.495486634,0.008399090631867645,-0.0005507999944143194
1987-02-08,17.6918407106,-23.501116053,17.6918409714,-23.501115570,0.012915031063753711,0.0017388000031814954
1987-02-09,17.6944420655,-23.502842139,17.6944423557,-23.502843037,0.014370755163825572,-0.0032328000116876865
1987-02-10,17.6971014795,-23.500588361,17.6971016798,-23.500590101,0.009919060916069413,-0.006264000006694914
1987-02-11,17.6999800461,-23.496250783,17.6999802131,-23.496251553,0.008270283192779415,-0.002771999999140462
1987-02-12,17.7031052642,-23.492735052,17.7031055480,-23.492735178,0.014054903716845746,-0.00045359999916172455
1987-02-13,17.7063584320,-23.492517711,17.7063588152,-23.492519164,0.01897761824159657,-0.005230799997946178
1987-02-14,17.7095329225,-23.496433044,17.7095332299,-23.496435868,0.015223242480617294,-0.010166399997046938
1987-02-15,17.7124351520,-23.503251640,17.7124353231,-23.503253549,0.008472875661798735,-0.006872400005875079
1987-02-16,17.7149808818,-23.510266711,17.7149810496,-23.510266695,0.008309017164510605,5.760000476584537e-05
1987-02-17,17.7172388741,-23.514639626,17.7172391255,-23.514639474,0.012448257174174748,0.0005472000069062233
1987-02-18,17.7193968893,-23.514840128,17.7193971315,-23.514841340,0.011992694061662276,-0.004363200002899248
1987-02-19,17.7216660797,-23.511420025,17.7216662341,-23.511421587,0.007645417201763939,-0.005623200004833961
1987-02-20,17.7241745575,-23.506715468,17.7241747155,-23.506716059,0.007823957691366004,-0.002127599996981644
1987-02-21,17.7269049657,-23.503670452,17.7269052352,-23.503670891,0.01334560344740065,-0.0015803999900754206
1987-02-22,17.7297039544,-23.504394698,17.7297042696,-23.504396384,0.015608575373914897,-0.006069600003399955
1987-02-23,17.7323564441,-23.509131044,17.7323566649,-23.509133242,0.010933532877256059,-0.007912800002429776
1987-02-24,17.7346907436,-23.516110383,17.7346908793,-23.516111191,0.006719210895088526,-0.0029087999976695755
