[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1921],[5],[17],[0],[0],[0.00],[8.9794227699],[17.207250136]
[1921],[5],[18],[0],[0],[0.00],[8.9804160495],[17.203158155]
[1921],[5],[19],[0],[0],[0.00],[8.9814436447],[17.198920864]
[1921],[5],[20],[0],[0],[0.00],[8.9825053009],[17.194539129]
[1921],[5],[21],[0],[0],[0.00],[8.9836007667],[17.190013804]
[1921],[5],[22],[0],[0],[0.00],[8.9847297938],[17.185345732]
[1921],[5],[23],[0],[0],[0.00],[8.9858921350],[17.180535759]
[1921],[5],[24],[0],[0],[0.00],[8.9870875434],[17.175584735]
[1921],[5],[25],[0],[0],[0.00],[8.9883157701],[17.170493526]
[1921],[5],[26],[0],[0],[0.00],[8.9895765626],[17.165263028]
[1921],[5],[27],[0],[0],[0.00],[8.9908696631],[17.159894168]
[1921],[5],[28],[0],[0],[0.00],[8.9921948076],[17.154387912]
[1921],[5],[29],[0],[0],[0.00],[8.9935517241],[17.148745263]
[1921],[5],[30],[0],[0],[0.00],[8.9949401327],[17.142967266]
[1921],[5],[31],[0],[0],[0.00],[8.9963597444],[17.137055013]
[1921],[6],[1],[0],[0],[0.00],[8.9978102601],[17.131009650]
[1921],[6],[2],[0],[0],[0.00],[8.9992913695],[17.124832381]
[1921],[6],[3],[0],[0],[0.00],[9.0008027489],[17.118524480]
[1921],[6],[4],[0],[0],[0.00],[9.0023440583],[17.112087291]
[1921],[6],[5],[0],[0],[0.00],[9.0039149390],[17.105522249]
[1921],[6],[6],[0],[0],[0.00],[9.0055150097],[17.098830885]
[1921],[6],[7],[0],[0],[0.00],[9.0071438647],[17.092014833]
[1921],[6],[8],[0],[0],[0.00],[9.0088010723],[17.085075833]
[1921],[6],[9],[0],[0],[0.00],[9.0104861767],[17.078015712]
[1921],[6],[10],[0],[0],[0.00],[9.0121987005],[17.070836372]
[1921],[6],[11],[0],[0],[0.00],[9.0139381495],[17.063539772]
[1921],[6],[12],[0],[0],[0.00],[9.0157040167],[17.056127914]
[1921],[6],[13],[0],[0],[0.00],[9.0174957856],[17.048602842]
[1921],[6],[14],[0],[0],[0.00],[9.0193129312],[17.040966643]
[1921],[6],[15],[0],[0],[0.00],[9.0211549197],[17.033221454]
[1921],[6],[16],[0],[0],[0.00],[9.0230212066],[17.025369477]
[1921],[6],[17],[0],[0],[0.00],[9.0249112333],[17.017413005]
[1921],[6],[18],[0],[0],[0.00],[9.0268244225],[17.009354450]
[1921],[6],[19],[0],[0],[0.00],[9.0287601728],[17.001196379]
[1921],[6],[20],[0],[0],[0.00],[9.0307178510],[16.992941551]
[1921],[6],[21],[0],[0],[0.00],[9.0326967837],[16.984592968]
[1921],[6],[22],[0],[0],[0.00],[9.0346962466],[16.976153929]
[1921],[6],[23],[0],[0],[0.00],[9.0367154523],[16.967628103]
[1921],[6],[24],[0],[0],[0.00],[9.0387535353],[16.959019611]
[1921],[6],[25],[0],[0],[0.00],[9.0408095344],[16.950333129]
[1921],[6],[26],[0],[0],[0.00],[9.0428823723],[16.941574007]
[1921],[6],[27],[0],[0],[0.00],[9.0449708309],[16.932748399]
[1921],[6],[28],[0],[0],[0.00],[9.0470735253],[16.923863430]
[1921],[6],[29],[0],[0],[0.00],[9.0491888749],[16.914927362]
[1921],[6],[30],[0],[0],[0.00],[9.0513150782],[16.905949752]
[1921],[7],[1],[0],[0],[0.00],[9.0534500971],[16.896941564]
[1921],[7],[2],[0],[0],[0.00],[9.0555916655],[16.887915141]
[1921],[7],[3],[0],[0],[0.00],[9.0577373434],[16.878883921]
[1921],[7],[4],[0],[0],[0.00],[9.0598846433],[16.869861748]
[1921],[7],[5],[0],[0],[0.00],[9.0620312556],[16.860861618]
[1921],[7],[6],[0],[0],[0.00],[9.0641753675],[16.851893852]
[1921],[7],[7],[0],[0],[0.00],[9.0663160209],[16.842964026]
[1921],[7],[8],[0],[0],[0.00],[9.0684533864],[16.834071315]
[1921],[7],[9],[0],[0],[0.00],[9.0705888102],[16.825208098]
[1921],[7],[10],[0],[0],[0.00],[9.0727245773],[16.816361199]
[1921],[7],[11],[0],[0],[0.00],[9.0748634663],[16.807514348]
[1921],[7],[12],[0],[0],[0.00],[9.0770082750],[16.798650896]
[1921],[7],[13],[0],[0],[0.00],[9.0791614634],[16.789755901]
[1921],[7],[14],[0],[0],[0.00],[9.0813249715],[16.780817237]
[1921],[7],[15],[0],[0],[0.00],[9.0835001852],[16.771825862]
[1921],[7],[16],[0],[0],[0.00],[9.0856879899],[16.762775567]
[1921],[7],[17],[0],[0],[0.00],[9.0878888604],[16.753662495]
[1921],[7],[18],[0],[0],[0.00],[9.0901029553],[16.744484634]
[1921],[7],[19],[0],[0],[0.00],[9.0923301988],[16.735241353]
[1921],[7],[20],[0],[0],[0.00],[9.0945703456],[16.725933036]
[1921],[7],[21],[0],[0],[0.00],[9.0968230307],[16.716560796]
[1921],[7],[22],[0],[0],[0.00],[9.0990878052],[16.707126266]
[1921],[7],[23],[0],[0],[0.00],[9.1013641626],[16.697631448]
[1921],[7],[24],[0],[0],[0.00],[9.1036515565],[16.688078605]
[1921],[7],[25],[0],[0],[0.00],[9.1059494137],[16.678470186]
[1921],[7],[26],[0],[0],[0.00],[9.1082571426],[16.668808768]
[1921],[7],[27],[0],[0],[0.00],[9.1105741387],[16.659097022]
[1921],[7],[28],[0],[0],[0.00],[9.1128997882],[16.649337685]
[1921],[7],[29],[0],[0],[0.00],[9.1152334696],[16.639533555]
[1921],[7],[30],[0],[0],[0.00],[9.1175745538],[16.629687473]
[1921],[7],[31],[0],[0],[0.00],[9.1199224037],[16.619802331]
[1921],[8],[1],[0],[0],[0.00],[9.1222763728],[16.609881061]
[1921],[8],[2],[0],[0],[0.00],[9.1246358039],[16.599926637]
[1921],[8],[3],[0],[0],[0.00],[9.1270000298],[16.589942066]
[1921],[8],[4],[0],[0],[0.00],[9.1293683754],[16.579930368]
[1921],[8],[5],[0],[0],[0.00],[9.1317401632],[16.569894554]
[1921],[8],[6],[0],[0],[0.00],[9.1341147199],[16.559837601]
[1921],[8],[7],[0],[0],[0.00],[9.1364913826],[16.549762421]
[1921],[8],[8],[0],[0],[0.00],[9.1388695037],[16.539671853]
[1921],[8],[9],[0],[0],[0.00],[9.1412484535],[16.529568661]
[1921],[8],[10],[0],[0],[0.00],[9.1436276197],[16.519455535]
[1921],[8],[11],[0],[0],[0.00],[9.1460064062],[16.509335113]
[1921],[8],[12],[0],[0],[0.00],[9.1483842312],[16.499209980]
[1921],[8],[13],[0],[0],[0.00],[9.1507605245],[16.489082688]
[1921],[8],[14],[0],[0],[0.00],[9.1531347260],[16.478955754]
[1921],[8],[15],[0],[0],[0.00],[9.1555062839],[16.468831674]
[1921],[8],[16],[0],[0],[0.00],[9.1578746538],[16.458712929]
[1921],[8],[17],[0],[0],[0.00],[9.1602392969],[16.448601987]
[1921],[8],[18],[0],[0],[0.00],[9.1625996796],[16.438501308]
[1921],[8],[19],[0],[0],[0.00],[9.1649552722],[16.428413348]
[1921],[8],[20],[0],[0],[0.00],[9.1673055475],[16.418340564]
[1921],[8],[21],[0],[0],[0.00],[9.1696499800],[16.408285417]
[1921],[8],[22],[0],[0],[0.00],[9.1719880441],[16.398250381]
[1921],[8],[23],[0],[0],[0.00],[9.1743192135],[16.388237944]
[1921],[8],[24],[0],[0],[0.00],[9.1766429594],[16.378250614]
[1921],[8],[25],[0],[0],[0.00],[9.1789587496],[16.368290924]
[1921],[8],[26],[0],[0],[0.00],[9.1812660468],[16.358361430]
[1921],[8],[27],[0],[0],[0.00],[9.1835643070],[16.348464723]
[1921],[8],[28],[0],[0],[0.00],[9.1858529782],[16.338603429]
[1921],[8],[29],[0],[0],[0.00],[9.1881314985],[16.328780215]
[1921],[8],[30],[0],[0],[0.00],[9.1903992958],[16.318997785]
[1921],[8],[31],[0],[0],[0.00],[9.1926557884],[16.309258869]
[1921],[9],[1],[0],[0],[0.00],[9.1949003873],[16.299566209]
[1921],[9],[2],[0],[0],[0.00],[9.1971325010],[16.289922537]
[1921],[9],[3],[0],[0],[0.00],[9.1993515420],[16.280330553]
[1921],[9],[4],[0],[0],[0.00],[9.2015569332],[16.270792895]
[1921],[9],[5],[0],[0],[0.00],[9.2037481129],[16.261312133]
[1921],[9],[6],[0],[0],[0.00],[9.2059245370],[16.251890760]
[1921],[9],[7],[0],[0],[0.00],[9.2080856792],[16.242531200]
