Year  M  D   H  M  S       alpha              dec
1903 10  9   0  0  0.00    23.2018402152      -6.782264646  
1903 10 10   0  0  0.00    23.2008597563      -6.781918479  
1903 10 11   0  0  0.00    23.1989699411      -6.790467461  
1903 10 12   0  0  0.00    23.1932545317      -6.826908009  
1903 10 13   0  0  0.00    23.1836867031      -6.889193230  
1903 10 14   0  0  0.00    23.1731485541      -6.955740612  
1903 10 15   0  0  0.00    23.1653291949      -7.001207674  
1903 10 16   0  0  0.00    23.1620472734      -7.014848163  
1903 10 17   0  0  0.00    23.1619534312      -7.008103737  
1903 10 18   0  0  0.00    23.1615255806      -7.006219792  
1903 10 19   0  0  0.00    23.1576233314      -7.029977015  
1903 10 20   0  0  0.00    23.1497627012      -7.080631365  
1903 10 21   0  0  0.00    23.1404614581      -7.139056690  
1903 10 22   0  0  0.00    23.1334005266      -7.179743054  
1903 10 23   0  0  0.00    23.1307538843      -7.189275409  
1903 10 24   0  0  0.00    23.1316336648      -7.175858305  
1903 10 25   0  0  0.00    23.1327506736      -7.163272722  
1903 10 26   0  0  0.00    23.1308006903      -7.173669551  
1903 10 27   0  0  0.00    23.1248566314      -7.211528733  
1903 10 28   0  0  0.00    23.1170289608      -7.260494478  
1903 10 29   0  0  0.00    23.1109211157      -7.295366951  
1903 10 30   0  0  0.00    23.1090187785      -7.300344468  
1903 10 31   0  0  0.00    23.1109061695      -7.280300631  
1903 11  1   0  0  0.00    23.1135831724      -7.257154254  
1903 11  2   0  0  0.00    23.1136449861      -7.253995352  
1903 11  3   0  0  0.00    23.1097454200      -7.278380714  
1903 11  4   0  0  0.00    23.1035567576      -7.316956857  
1903 11  5   0  0  0.00    23.0985414514      -7.345276007  
1903 11  6   0  0  0.00    23.0974439902      -7.345499373  
1903 11  7   0  0  0.00    23.1003190497      -7.319158577  
1903 11  8   0  0  0.00    23.1045080080      -7.285937474  
1903 11  9   0  0  0.00    23.1065737072      -7.269401443  
1903 11 10   0  0  0.00    23.1047840206      -7.279977227  
1903 11 11   0  0  0.00    23.1003489895      -7.307502886  
1903 11 12   0  0  0.00    23.0965291200      -7.328709442  
1903 11 13   0  0  0.00    23.0962721092      -7.324089288  
1903 11 14   0  0  0.00    23.1000923318      -7.291883248  
1903 11 15   0  0  0.00    23.1057168311      -7.249221946  
1903 11 16   0  0  0.00    23.1097410308      -7.219703623  
1903 11 17   0  0  0.00    23.1100886463      -7.216357815  
1903 11 18   0  0  0.00    23.1074968483      -7.232313087  
1903 11 19   0  0  0.00    23.1049652882      -7.245896653  
1903 11 20   0  0  0.00    23.1055803903      -7.236360378  
1903 11 21   0  0  0.00    23.1102938353      -7.198776880  
1903 11 22   0  0  0.00    23.1172541833      -7.147454091  
1903 11 23   0  0  0.00    23.1231561005      -7.105563652  
1903 11 24   0  0  0.00    23.1256260605      -7.088435269  
1903 11 25   0  0  0.00    23.1249249170      -7.092539807  
1903 11 26   0  0  0.00    23.1237403407      -7.098168183  
1903 11 27   0  0  0.00    23.1252328638      -7.083764432  
1903 11 28   0  0  0.00    23.1307610128      -7.041411141  
1903 11 29   0  0  0.00    23.1389198998      -6.982394598  
1903 11 30   0  0  0.00    23.1465662549      -6.929022109  
1903 12  1   0  0  0.00    23.1510866754      -6.898548517  
1903 12  2   0  0  0.00    23.1522752181      -6.890756942  
1903 12  3   0  0  0.00    23.1524619718      -6.888241745  
1903 12  4   0  0  0.00    23.1548140603      -6.869098769  
1903 12  5   0  0  0.00    23.1610581926      -6.822654338  
1903 12  6   0  0  0.00    23.1702540687      -6.757015407  
1903 12  7   0  0  0.00    23.1794804134      -6.693201839  
1903 12  8   0  0  0.00    23.1859440949      -6.649997972  
1903 12  9   0  0  0.00    23.1889909690      -6.630409057  
1903 12 10   0  0  0.00    23.1905567215      -6.619620628  
1903 12 11   0  0  0.00    23.1937510650      -6.595824566  
1903 12 12   0  0  0.00    23.2006218018      -6.545885782  
1903 12 13   0  0  0.00    23.2106974120      -6.474663859  
1903 12 14   0  0  0.00    23.2213337377      -6.401490399  
1903 12 15   0  0  0.00    23.2296233275      -6.346240793  
1903 12 16   0  0  0.00    23.2344914026      -6.314991521  
1903 12 17   0  0  0.00    23.2374490565      -6.295766519  
1903 12 18   0  0  0.00    23.2414820888      -6.267320942  
1903 12 19   0  0  0.00    23.2489058426      -6.214397114  
1903 12 20   0  0  0.00    23.2597133111      -6.138590463  
1903 12 21   0  0  0.00    23.2715846321      -6.057188829  
1903 12 22   0  0  0.00    23.2815634277      -5.990712144  
1903 12 23   0  0  0.00    23.2881899332      -5.948098552  
1903 12 24   0  0  0.00    23.2925317298      -5.920384782  
1903 12 25   0  0  0.00    23.2973909780      -5.887321031  
1903 12 26   0  0  0.00    23.3052905205      -5.831920232  
1903 12 27   0  0  0.00    23.3166722007      -5.752574398  
1903 12 28   0  0  0.00    23.3295823386      -5.664200750  
1903 12 29   0  0  0.00    23.3410846046      -5.587485300  
1903 12 30   0  0  0.00    23.3493782187      -5.533959532  
1903 12 31   0  0  0.00    23.3550759014      -5.497801333  
1904  1  1   0  0  0.00    23.3607402350      -5.460171034  
1904  1  2   0  0  0.00    23.3690401423      -5.402763070  
1904  1  3   0  0  0.00    23.3808427230      -5.320884119  
1904  1  4   0  0  0.00    23.3945938250      -5.226806627  
1904  1  5   0  0  0.00    23.4074419050      -5.140924614  
1904  1  6   0  0  0.00    23.4172963523      -5.077038006  
1904  1  7   0  0  0.00    23.4243172181      -5.032501941  
1904  1  8   0  0  0.00    23.4307773441      -4.990273428  
1904  1  9   0  0  0.00    23.4394252265      -4.931185646  
1904  1 10   0  0  0.00    23.4515196923      -4.847648661  
1904  1 11   0  0  0.00    23.4659308374      -4.749069328  
1904  1 12   0  0  0.00    23.4799562388      -4.655083543  
1904  1 13   0  0  0.00    23.4912703363      -4.581401059  
1904  1 14   0  0  0.00    23.4995885373      -4.528546558  
1904  1 15   0  0  0.00    23.5068502329      -4.481618224  
1904  1 16   0  0  0.00    23.5158171178      -4.421051682  
1904  1 17   0  0  0.00    23.5280982167      -4.336609410  
1904  1 18   0  0  0.00    23.5430009487      -4.234689535  
1904  1 19   0  0  0.00    23.5580299177      -4.133737938  
1904  1 20   0  0  0.00    23.5706862864      -4.050957571  
1904  1 21   0  0  0.00    23.5802609246      -3.989949016  
1904  1 22   0  0  0.00    23.5883233021      -3.938252908  
1904  1 23   0  0  0.00    23.5975813302      -3.876387383  
1904  1 24   0  0  0.00    23.6099465904      -3.791768071  
1904  1 25   0  0  0.00    23.6251699683      -3.687689876  
1904  1 26   0  0  0.00    23.6410173630      -3.580996861  
1904  1 27   0  0  0.00    23.6548799462      -3.489949813  
1904  1 28   0  0  0.00    23.6656517617      -3.421072630  
1904  1 29   0  0  0.00    23.6745048015      -3.364590142  
1904  1 30   0  0  0.00    23.6840312951      -3.301557132  
1904  1 31   0  0  0.00    23.6963919502      -3.217394528  
1904  2  1   0  0  0.00    23.7117749124      -3.112289603  
1904  2  2   0  0  0.00    23.7282551867      -3.001110882  
1904  2  3   0  0  0.00    23.7431811630      -2.902704408  
1904  2  4   0  0  0.00    23.7550872111      -2.826293519  
1904  2  5   0  0  0.00    23.7647288286      -2.764970211  
1904  2  6   0  0  0.00    23.7745214572      -2.700782522  
1904  2  7   0  0  0.00    23.7868170095      -2.617548669  
1904  2  8   0  0  0.00    23.8022269617      -2.512401611  
1904  2  9   0  0  0.00    23.8191749933      -2.397914848  
1904  2 10   0  0  0.00    23.8350314728      -2.293054269  
1904  2 11   0  0  0.00    23.8480137002      -2.209469462  
1904  2 12   0  0  0.00    23.8584506253      -2.143233423  
1904  2 13   0  0  0.00    23.8685259614      -2.077803868  
1904  2 14   0  0  0.00    23.8807197608      -1.995833908  
1904  2 15   0  0  0.00    23.8960409545      -1.891544238  
1904  2 16   0  0  0.00    23.9132939041      -1.774944207  
1904  2 17   0  0  0.00    23.9299374372      -1.664634746  
1904  2 18   0  0  0.00    23.9439216838      -1.574360599  
1904  2 19   0  0  0.00    23.9551473493      -1.503229390  
1904  2 20   0  0  0.00    23.9655165105      -1.436493357  
1904  2 21   0  0  0.00    23.9775745153      -1.356085635  
1904  2 22   0  0  0.00    23.9926959545      -1.253508672  
1904  2 23   0  0  0.00     0.0100896091      -1.135999709  
1904  2 24   0  0  0.00     0.0273641483      -1.021341915  
1904  2 25   0  0  0.00     0.0422575052      -0.924999641  
