planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
,abin0072,2012-2012,1,1,0,position,250 - Hubble Space Telescope
,abin0073,2002-2011,49,49,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA)"
,abin0074,2001-2001,3,3,0,position,568 - Mauna Kea
,abin0075,2002-2002,1,1,0,position,568 - Mauna Kea
,abin0076,2002-2002,2,2,0,position,"250 - Hubble Space Telescope; Reference.; Brown, M. E.; Trujillo, C. A.; (26308) 1998 SM_165.; IAU Circ., No. 7807, #1 (2002).; <a href=""http://adsabs.harvard.edu/abs/2002IAUC.7807....1B"">2002IAUC.7807....1B</a>"
,abin0077,2001-2001,1,1,0,position,no informations
,abin0078,2001-2001,2,2,0,position,no informations
,abin0079,2001-2001,2,2,0,position,568 - Mauna Kea
,abin0080,2007-2011,24,24,0,position,"568 - Mauna Kea; I11 - Gemini South Observatory, Cerro Pachon, Chile; 250 - Hubble Space Telescope"
,abin0081,2006-2011,13,13,0,position,568 - Mauna Kea W.M. Keck observatory
,abin0082,1998-1998,5,5,0,position,568 - Mauna Kea
,abin0083,2008-2008,1,1,0,position,250 - Hubble Space Telescope
,abin0084,2008-2008,1,1,0,position,250 - Hubble Space Telescope
,abin0085,2008-2008,1,1,0,position,250 - Hubble Space Telescope
,abin0086,2008-2008,1,1,0,position,250 - Hubble Space Telescope
,abin0087,2008-2008,1,1,0,position,250 - Hubble Space Telescope
,abin0088,2008-2008,1,1,0,position,568 -  Mauna Kea
,abin0089,2004-2004,3,3,0,position,309 - Cerro Paranal
,abin0090,2012-2012,1,1,0,position,568 - Hawaii's Maunakea
,abin0091,2015-2016,3,3,0,position,"309 the ESO, Cerro Paranal"
,abin0092,2001-2001,1,1,0,position,250 - Hubble Space Telescope
,abin0093,2001-2001,1,1,0,position,568 - Mauna Kea
,abin0094,2006-2006,1,1,0,position,568 - Mauna Kea
,abin0095,2009 - 2009,1,1,0,position,568 - Mauna Kea
,abin0096,2007 - 2007,1,1,0,position,250 - Hubble Space Telescope
,abin0097,2007-2007,1,1,0,position,"309 - ESO, Cerro Paranal, Chile"
,abin0098,2006-2008,7,7,0,position,"250 - Hubble Space Telescope; 568 - Keck LGS, Mauna Kea"
,abin0099,2008-2008,1,1,0,position,568 - Mauna Kea
,abin0100,2012-2012,1,1,0,position,250 - Hubble Space Telescope
,abin0101,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0102,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0103,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0104,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0105,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0106,2006-2006,1,1,0,position,388 - Tokyo-Mitaka
,abin0107,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0108,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0109,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0110,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0111,2004-2010,47,47,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA); Reference; Parker, Alex H.; Kavelaars, J. J.; Petit, Jean-Marc; Jones, Lynne; Gladman,; Brett; Parker, Joel; CHARACTERIZATION OF SEVEN ULTRA-WIDE TRANS-NEPTUNIAN BINARIES; The Astrophysical Journal, 743:1 (20pp), 2011; <a href=""http://adsabs.harvard.edu/abs/2011ApJ...743....1P"">2011ApJ...743....1P</a>"
,abin0112,2003-2003,1,1,0,position,"304 - Las Campanas, Chile"
,abin0113,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0114,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0115,2006-2011,66,66,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA)"
,abin0116,2006-2011,56,56,0,position,"568 - Mauna Kea (CFHT, Gemini Observatory, Hawaii, USA)"
,abin0117,2002-2002,1,1,0,position,250 - Hubble Space Telescope
,abin0118,2007 - 2007,8,8,0,position,"309 - ESO, Cerro Paranal, Chile"
,abin0119,2009-2010,18,18,0,position,I08 - Cerro Burek
,abin0120,2009-2010,8,8,0,position,250 - Hubble Space Telescope
,abin0121,2013-2017,7,7,0,position,568 - Mauna Kea; 250 - HST
,abin0122,2003-2003,1,1,0,position,250 - Hubble Space Telescope
,abin0123,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0124,2005-2005,1,1,0,position,"568 - Mauna Kea, Hawaii"
,abin0125,2003-2003,1,1,0,position,"250 - Hubble Space Telescope; Reference.; Noll, K. S.; Stephens, D. C.; Cruikshank, D.; Grundy, W.; Romanishin, W.; Tegler, S..; 1999 RZ_253; IAUC 8143, 2003; <a href=""http://adsabs.harvard.edu/abs/2003IAUC.8143....1N"">2003IAUC.8143....1N</a>"
,abin0126,2007-2007,1,1,0,position,250 - Hubble Space Telescope
,abin0127,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0128,2006-2006,1,1,0,position,250 - Hubble Space Telescope
,abin0129,2014-2014,1,1,0,position,250 - Hubble Space Telescope
,abin0130,2016-2017,2,2,0,position,"304 -  Las Campanas Observatory, Chile."
,abin0131,2001 - 2016,80,80,0,position,"250 - Hubble Space Telescope; 309 - Cerro Paranal (European Southern Observatory, Chile),; 568 - Mauna Kea (Keck  observatory, Hawaii, USA),; 568 - Mauna Kea (Gemini observatory, Hawaii, USA)"
