planet,file,dates,lines(txt),total(html),total(html)-lines(txt),type,observatory
M,mm0018,1988-1988,267,267,0,relative,"689 - U.S. Naval Observatory, Flagstaff       : 145,; 786 - U.S. Naval Obs., Washington (since 1893): 122"
M,mm0019,1963-1988,1148,416,-732,absolute,"083 - Golosseevo-Kiev,; 186 - Kitab,; 188 - Shokin Majdanak"
M,mm0020,2004-2005,36,36,0,absolute,Mars Express
M,mm0021,1995-2003,326,326,0,absolute,874 - Itajuba
M,mm0022,2004-2007,69,69,0,absolute,Mars Express
M,mm0023,1973-1988,248,248,0,absolute,84 - Pulkovo; 129 - Ordubad
M,mm0024,1986-1988,391,391,0,relative,84 - Pulkovo; 129 - Ordubad
M,mm0025,1986-1988,206,206,0,relative,84 - Pulkovo; 129 - Ordubad
M,mm0026,2003-2003,15,15,0,absolute,"673 - Table Mountain Observatory, Wrightwood"
M,mm0027,1971-1997,874,874,0,absolute,"786 - U.S. Naval Obs., Washington (since 1893)"
M,mm0028,1967-1986,470,470,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
M,mm0029,2004-2014,581,581,0,absolute,MARS EXPRESS probe
M,mm0030,1971-1971,122,122,0,absolute,"786 - U.S. Naval Obs., Washington"
M,mm0031,2008-2011,261,261,0,absolute,MARS EXPRESS probe
M,mm0032,2008-2011,261,261,0,absolute,MARS EXPRESS probe
M,mm0033,1988,254,254,0,absolute,820 - Tarija
M,mm0034,2014-2016,182,182,0,"relative, absolute",MARS EXPRESS probe
M,mm0035,2011-2013,151,151,0,"relative, absolute",MARS EXPRESS probe
M,mm0036,2014-2016,295,295,0,"relative, absolute",MARS EXPRESS probe
M,mm0037,2009-2017,261,261,0,relative,MARS EXPRESS probe
M,mm0038,2015-2016,7,7,0,absolute,258 - Gaia
M,mm0039,2014-2019,29,29,0,absolute,258 - Gaia
N,ni0001,1997-1997,75,75,0,relative,250 - Hubble Space Telescope
N,ni0002,1991-1991,8,8,0,relative,"809 - European Southern Observatory, La Silla"
N,ni0003,2000-2002,66,66,0,absolute,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,ni0004,2004-2009,10,10,0,relative,Hubble Space Telescope (HST)
N,ni0005,2004-2016,36,36,0,relative,Hubble Space Telescope (HST)
N,nm0001,2001-2001,3,3,0,absolute,"673 -Table Mountain Observatory, Wrightwood"
N,nm0002,2001-2001,3,3,0,relative,"673 -Table Mountain Observatory, Wrightwood"
N,nm0003,1989-1994,433,433,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,nm0004,1995-1997,759,759,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,nm0005,1999-1999,3,3,0,absolute,"673 -Table Mountain Observatory, Wrightwood"
N,nm0006,1999-1999,3,3,0,relative,"673 -Table Mountain Observatory, Wrightwood"
N,nm0007,1998-1999,124,124,0,absolute,689 - Flagstaff
N,nm0008,1984-1986,56,56,0,relative,"689 - U.S. Naval Observatory, Flagstaff"
N,nm0009,1975-1977,28,28,0,relative,"689 - U.S. Naval Observatory, Flagstaff"
N,nm0010,1979-1983,114,114,0,relative,"689 - U.S. Naval Observatory, Flagstaff"
N,nm0011,1877-1877,29,29,0,relative,"787 - U.S. Naval Obs., Washington"
N,nm0012,2001-2005,323,323,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
N,nm0013,2000-2002,66,66,0,absolute,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,nm0014,2005-2006,144,144,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
N,nm0015,1996-2006,943,943,0,absolute,"337 - Sheshan, formerly Zo-Se"
N,nm0016,1990-1990,5,5,0,absolute,188 - Majdanak
N,nm0017,1986-1993,54,54,0,absolute,119 - Abastumani
N,nm0018,1995-2007,95,95,0,absolute,999 Bordeaux-Floirac
N,nm0019,2007-2009,1095,1095,0,absolute,"327 - Peking Observatory, Xinglong Station; 337 - Sheshan, formerly Zo-Se"
N,nm0020,1970,3,3,0,absolute,999 - Bordeaux-Floirac
N,nm0021,1875-1877,122,123,1,relative,"787 - U.S. Naval Obs., Washington"
N,nm0022,1899-1901,21,21,0,relative,084 - Pulkovo
N,nm0025,1939,30,30,0,relative,"077-Yale-Columbia Station, Johannesburg"
N,nm0026,1940-1942,43,43,0,relative,"077-Yale-Columbia Station, Johannesburg"
N,nm0027,1866-1868,18,18,0,relative,"802 - Harvard Observatory, Cambridge"
N,nm0028,1883-1888,68,68,0,relative,H80 - Halsted observatory
N,nm0029,1889,18,18,0,relative,780 - Leander McCormick Observatory
N,nm0030,1894-1897,133,139,6,relative,662 - Lick Observatory
N,nm0031,1896-1897,85,85,0,relative,"690 - Lowell Observatory; References.; 1. Drew D. A. (1897); Micrometric measures of the satellite of Neptune.; Astronomical Journal. V. 17. Iss. 401. P. 131-132.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=1897AJ_____17__131D"">1897AJ_____17__131D</a>"
N,nm0032,1898-1898,36,36,0,relative,690 - Lowell Observatory
N,nm0033,1897-1899,326,330,4,relative,754 - Yerkes Observatory
N,nm0034,"1898-1899, 1901-1902",52,52,0,relative,662 - Lick Observatory
N,nm0035,1898-1900,39,39,0,relative,"662 - Lick Observatory, Mount Hamilton"
N,nm0036,1899-1900,129,129,0,relative,"786 - U.S. Naval Obs., Washington"
N,nm0037,1904-1908,100,100,0,relative,"786 - U.S. Naval Obs., Washington"
N,nm0039,1902-1903,40,40,0,relative,"786 - U.S. Naval Obs., Washington; References.; 1. Dinwiddie W. W. (1903); Observations of the satellite of Neptune.; Astronomical Journal. V. 23. Iss. 542-543. P. 144-144.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=1903AJ_____23__144D"">1903AJ_____23__144D</a>"
N,nm0040,1903-1908,294,295,1,relative,"000 - Royal Observatory, Greenwich; References."
N,nm0041,1903-1922,986,989,3,relative,"754 - Yerkes Observatory, Williams Bay"
N,nm0042,1847,24,24,0,relative,"802 - Harvard Observatory, Cambridge"
N,nm0043,1908-1910,64,64,0,relative,"786 - U.S. Naval Observatory, Washington"
N,nm0044,1911,72,72,0,relative,"786 - U.S. Naval Observatory, Washington"
N,nm0045,"1912-1913, 1918-1919",282,282,0,relative,"786 - U.S. Naval Observatory, Washington; References.; Hall, A., Jr.; Burton, H. E.(1919); Observations of the satellite of Neptune; Astronomical Journal. V. 32. Iss. 759. P. 113-116.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=1919AJ_____32__113B"">1919AJ_____32__113B</a>"
N,nm0046,,84,84,0,1919-1923,"786 - U.S. Naval Obs., Washington"
N,nm0047,1920-1920,46,46,0,relative,"786 - U.S. Naval Obs., Washington"
N,nm0048,1883-1884,31,31,0,relative,"007 - Paris; References.; Henry P., Boinot A., Sy F. (1886); Observations des satellites de Mars, Uranus et Neptune.; Bulletin Astronomique. Serie I. V. 3. P. 488-493.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=1886BuAsI___3__488H"">1886BuAsI___3__488H</a>"
N,nm0050,1848,4,4,0,relative,992 - Liverpool
N,nm0051,1847,4,5,1,relative,"Cambridge; References.; Lassell W. (1849); Observations of Lassell's satellite of Neptune.; Monthly Notices of the Royal Astronomical Society. V. 9. P. 103.; <A HREF=""../../../../cgi-bin/ObsArticleByCode.cgi?code=1849MNRAS___9__103L"">1849MNRAS___9__103L</a>"
N,nm0052,1849-1849,5,5,0,relative,992 - Liverpool
N,nm0053,"1849-1852, 1856",92,140,48,relative,992 - Liverpool
N,nm0054,1863,20,20,0,relative,992 - Liverpool
N,nm0055,1874,61,61,0,relative,"787 - U.S. Naval Obs., Washington"
N,nm0056,1873,33,33,0,relative,"787 - U.S. Naval Obs., Washington"
N,nm0057,1885-1886,3,3,0,relative,968 - Haverhill (Mr. Wigglesworth's Observatory)
N,nm0058,1899,12,12,0,relative,"000 - Royal Observatory, Greenwich; References."
N,nm0059,1896-1898,28,28,0,relative,"000 - Royal Observatory, Greenwich; References."
N,nm0060,1905-1906,32,32,0,relative,"754 - Yerkes Observatory, Williams Bay"
N,nm0061,1905,6,6,0,relative,"662 - Lick Observatory, Mount Hamilton"
N,nm0062,1894-1906,388,388,0,relative,"786 - U.S. Naval Obs., Washington"
N,nm0063,1911-1912,85,85,0,relative,"786 - U.S. Naval Obs., Washington"
N,nm0064,1909-1910,59,59,0,relative,"000 - Royal Observatory, Greenwich"
N,nm0065,1899-1920,101,101,0,relative,084 - Pulkovo
N,nm0068,1892-1895,320,320,0,relative,"662 - Lick Observatory, Mount Hamilton"
N,nm0069,1899-1901,361,361,0,relative,"754 - Yerkes Observatory, Williams Bay"
N,nm0070,1923,118,118,0,relative,084 - Pulkovo
N,nm0071,1884-1884,21,21,0,relative,7 - Paris
N,nm0072,1902-1903,51,51,0,relative,"662 -  Lick Observatory, Mount Hamilton"
N,nm0073,1886-1887,27,27,0,relative,20 - Nice
N,nm0074,1903-1905,13,13,0,relative,522 - Strasbourg
N,nm0075,1928-1928,15,15,0,relative,"662 - Lick Observatory, Mount Hamilton"
N,nm0076,1901-1903,223,223,0,relative,"754 - Yerkes Observatory, Williams Bay"
N,nm0077,2000-2012,874,874,0,absolute,689 - Flagstaff
N,nm0078,2013 - 2014,116,116,0,absolute,689 - Flagstaff
N,nm0079,2001-2012,201,201,0,absolute,"673 -Table Mountain Observatory, Wrightwood, California"
N,nm0080,"1899-1900, 1902, 1907",60,60,0,relative,"000 - Royal Observatory, Greenwich"
N,nm0081,2014-2016,755,755,0,absolute,286 - Yunnan Observatory
N,nm0082,2006,34,34,0,absolute,"327 - Peking Observatory, Xinglong Station"
N,nm0083,1963-1990,10,10,0,absolute,083 - Golosseevo-Kiev; 188 - Majdanak
N,nm0084,2013-2019,1135,1135,0,absolute,286 - Yunnan Observatory
N,nm0085,2005-2009,2299,2299,0,absolute,"337 - Sheshan, formerly Zo-Se"
N,nm0086,2010-2014,604,604,0,absolute,"337 - Sheshan, formerly Zo-Se"
N,nm0087,2014-2017,153,153,0,absolute,258 - Gaia
N,nm0088,1996-2006,1006,1006,0,absolute,337 - Sheshan station of the Shanghai Astronomical Observatory
N,nm0089,2014-2019,468,468,0,absolute,258 - Gaia
N,nm1001,1993-1998,174,174,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,nm1002,1993-1998,230,230,0,absolute,874 - Itajuba (Laboratorio Nacional de Astrofisica)
N,nm1003,2001-2001,3,3,0,absolute,568 - Mauna Kea
N,nm1004,2002-2002,3,3,0,absolute,"807 - Cerro Tololo Observatory, La Serena"
N,nm1005,1949-1949,7,7,0,absolute,"711 - McDonald Observatory, Fort Davis"
N,nm1006,1949-1969,44,44,0,relative,"711 - McDonald Observatory, Fort Davis"
N,nm1007,1977-1984,17,17,0,relative,"568 - Mauna Kea; 711 - McDonald Observatory, Fort Davis; 809 - European Southern Observatory, La Silla"
N,nm1008,1987-1987,5,5,0,relative,"809 - European Southern Observatory, La Silla"
N,nm1009,1987-1987,4,4,0,absolute,"807 - Cerro Tololo Observatory, La Serena"
N,nm1010,2003-2003,1,1,0,absolute,568 Mauna Kea
N,nm1011,2004-2004,7,7,0,absolute,"415 - Kambah, near Canberra"
N,nm1012,2006-2006,21,21,0,absolute,"415 - Kambah, near Canberra; 213 - Observatorio Montcabre; Reference.; MPC (Minor Planets Circular) 57110,57416,57417"
N,nm1014,"2002,2006",84,84,0,absolute,"415 - Kambah, near Canberra; 644 - Palomar Mountain/NEAT; D35 - Lulin Observatory"
N,nm1015,2007-2007,11,11,0,absolute,"415 - Kambah, near Canberra"
N,nm1016,2007-2007,45,45,0,absolute,"415 - Kambah, near Canberra"
N,nm1017,2007-2008,12,12,0,absolute,"415 - Kambah, near Canberra"
N,nm1018,2008-2008,17,17,0,absolute,"415 - Kambah, near Canberra"
N,nm1019,2006-2007,112,112,0,absolute,"327 - Peking Observatory, Xinglong Station"
N,nm1020,2009-2009,20,20,0,absolute,"415 - Kambah; 673 - Table Mountain Observatory, Wrightwood"
N,nm1021,2009-2010,9,9,0,absolute,"415 - Kambah; 673 - Table Mountain Observatory, Wrightwood"
N,nm1022,2011-2011,55,55,0,absolute,"673 - Table Mountain Observatory, Wrightwood; E07 - Murrumbateman"
N,nm1023,2011-2012,11,11,0,absolute,"673 - Table Mountain Observatory, Wrightwood; E07 - Murrumbateman"
N,nm1024,1992-2014,902,902,0,absolute,"809 - European Southern Observatory, La Silla; 874 - Itajuba"
N,nm1025,2012-2017,150,150,0,absolute,327 - Xinglong station of National Astronomical Observatory; O44 - Lijiang station of Yunnan Astronomical Observatory
N,nm1026,2000-2010,140,140,0,absolute,511- Haute Provence
N,nm1027,2012-2014,91,91,0,absolute,"673 - Table Mountain Observatory, Wrightwood; C95 - SATINO Remote Observatory, Haute Provence; E07 - Murrumbateman; G37 - Lowell Observatory-Discovery Channel Telescope"
N,nm1028,2013-2016,71,71,0,absolute,"E07 - Murrumbateman; F51 - Pan-STARRS 1, Haleakala; G40 - Slooh.com Canary Islands Observatory; W84 - Cerro Tololo-DECam"
N,nm1029,2017-2017,2,2,0,absolute,Z80 - Northolt Branch Observatory
N,nm1030,2018-2018,9,9,0,absolute,"D29 - Purple Mountain Observatory, XuYi Station; I41 - Palomar Mountain--ZTF"
N,nm1031,2018-2018,2,2,0,absolute,G40 - Slooh.com Canary Islands Observatory
N,nm1032,2006-2007,140,140,0,absolute,"327 - Peking Observatory, Xinglong Station"
N,nm1033,2018,3,3,0,absolute,G40 - Slooh.com Canary Islands Observatory
N,nm1034,2014-2017,193,193,0,absolute,258 - Gaia
N,nm1035,2003-2021,159,159,0,absolute,"215 - Buchloe; 644 - Palomar Mountain/NEAT; 695 - Kitt Peak; D29 - Purple Mountain Observatory, XuYi Station; F51 - Pan-STARRS 1, Haleakala; I41 - Palomar Mountain--ZTF; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W84 - Cerro Tololo-DECam; W88 - Slooh.com Chile Observatory, La Dehesa; Z80 - Northolt Branch Observatory"
N,nm1036,2014-2019,498,498,0,absolute,258 - Gaia
N,no0001,2001-2002,57,57,0,absolute,"309 - Cerro Paranal; 568 - Mauna Kea; 807 - Cerro Tololo Observatory, La Serena"
N,no0002,2001-2003,40,40,0,absolute,"304 - Las Campanas Observatory; 568 - Mauna Kea; 807 - Cerro Tololo Observatory, La Serena"
N,no0003,2002-2003,40,40,0,absolute,"304 - Las Campanas Observatory; 309 - Cerro Paranal; 568 - Mauna Kea; 807 - Cerro Tololo Observatory, La Serena; 950 - La Palma"
N,no0004,"1999, 2003",6,6,0,absolute,304 - Las Campanas Observatory; 568 - Mauna Kea
N,no0005,2004-2004,27,27,0,absolute,304 - Las Campanas Observatory; 568 - Mauna Kea
N,no0006,2004-2004,12,12,0,absolute,309 - Cerro Paranal; 568 - Mauna Kea
N,no0007,2009-2009,43,31,-12,absolute,568 - Mauna Kea
N,no0008,2010-2010,8,8,0,absolute,309 - Cerro Paranal
N,no0009,2015-2015,9,9,0,absolute,W84 - Cerro Tololo-DECam
N,no0010,2017,2,2,0,absolute,Z80 - Northolt Branch Observatory
P,pm0001,1992-1993,60,60,0,relative,250 - Hubble Space Telescope
P,pm0002,1998-1998,5,5,0,absolute,250 - Hubble Space Telescope
P,pm0003,2005-2006,8,8,0,relative,250 - Hubble Space Telescope
P,pm0004,2002-2003,12,36,24,relative,250 - Hubble Space Telescope
P,pm0005,2006-2006,2,2,0,relative,309 - Cerro Paranal
P,pm0006,2006-2006,4,4,0,relative,"E15 - Magellan Observatory, near Goulburn"
P,pm0007,2006-2011,7,7,0,relative,HST
P,pm0008,1992-2010,899,899,0,relative,250 - Hubble Space Telescope
P,pm0009,1965-1979,24,24,0,relative,"689 - U.S. Naval Observatory, Flagstaff; 711 - McDonald Observatory, Fort Davis; 807 - Cerro Tololo Observatory, La Serena; 301 - Mont Megantic"
P,pm0010,2006-1012,2773,2773,0,relative,250 - HST
P,pm0011,2006-1012,120,120,0,relative,250 - HST
P,pm0012,1980-1984,17,17,0,relative,"493 - Calar Alto; 568 - Mauna Kea; 696 - Whipple Observatory, Mt. Hopkins; W74 - Danish Telescope, La Silla"
P,pm0013,1984-1985,56,56,0,relative,568 - Mauna Kea
P,pm0014,1991-1993,28,28,0,relative,250 - HST
P,pm0015,2005,2,2,0,relative,250 - HST
P,pm0016,2008,1,1,0,relative,"181 - Observatoire des Makes, Saint-Louis"
P,pm0017,2012,1,1,0,relative,568 - Mauna Kea
S,si0001,1981-1985,270,270,0,relative,"809 - La Silla (ESO, Chile); 568 - Mauna Kea (CFH, Hawaii)"
S,si0002,1985-1987,22,22,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
S,si0003,1995-1996,346,124,-222,relative,"874 - Itajuba (Laboratorio Nacional de Astrofisica, Brazil)"
S,si0004,1980-1980,80,80,0,relative,"LPL, 014 - Marseilles"
S,si0005,2004-2016,890,890,0,absolute,Cassini space probe
S,si0006,2014,5,5,0,absolute,Cassini space probe
S,si0007,2015,5,5,0,absolute,258 - Gaia
S,si0008,2014-2019,594,594,0,absolute,258 - Gaia
S,si1001,1966-1980,107,107,0,relative,"711 - McDonald; 693 - Catalina Station, Tucson; 586 - Pic du Midi; 689 - U.S. Naval Observatory, Flagstaff; 786 - U.S. Naval Observatory; 693 - Catalina Station, Tucson; 511 - Haute Provence; 672 - Mount Wilson; 704 - New Mexico State University; 1000 - not idenified"
S,si1002,1990-1990,5,5,0,relative,675 - Palomar Mountain
S,si1003,1995-1995,43,45,2,relative,262 - ESO at La Silla; 1000 - HST
S,si1004,1995-1995,39,39,0,relative,262 - ESO at La Silla; 1000 - HST
S,si1005,2000-2000,53,53,0,relative,675 - Palomar Mountain
S,si1006,1994-2002,349,349,0,relative,250 - Hubble Space Telescope
S,si1007,"2013, 2015",22,22,0,absolute,Cassini space probe
S,si1008,2004-2013,2580,2580,0,absolute,Cassini space probe
S,sm0001,1906-1906,5,5,0,absolute,"800 - Harvard Observatory, Arequipa; 754 - Yerkes Observatory,Williams Bay"
S,sm0002,1908-1922,494,494,0,relative,084 - Pulkovo
S,sm0003,1977-1977,2,2,0,absolute,689 - Flagstaff Station of USNO
S,sm0004,1977-1977,29,29,0,absolute,012 - Observatoire Royal de Belgique (Uccle)
S,sm0005,1982-1982,41,41,0,absolute,"136 - Engelhardt Observatory, Kasan"
S,sm0006,1983-1985,92,92,0,absolute,089 - Nikolaev
S,sm0007,1973-1974,14,14,0,absolute,084 - Pulkovo
S,sm0008,1986-1986,21,21,0,absolute,089 - Nikolaev
S,sm0009,1980-1980,312,312,0,absolute,083 - Golosseevo-Kiev
S,sm0010,1973-1984,745,745,0,absolute,084 - Pulkovo
S,sm0011,1975-1981,473,473,0,absolute,084 - Pulkovo
S,sm0012,1976-1982,540,540,0,relative,084 - Pulkovo
S,sm0013,1994-1995,128,128,0,relative,084 - Pulkovo - 084
S,sm0014,1994-1995,109,109,0,relative,084 - Pulkovo
S,sm0015,1995-1996,36,36,0,relative,084 - Pulkovo
S,sm0016,1996-1996,37,37,0,relative,084 - Pulkovo - 084
S,sm0017,1996-1996,23,23,0,relative,084 - Pulkovo - 084
S,sm0018,1995-1995,2536,2536,0,relative,073 - Bucharest
S,sm0019,1985-1993,136,136,0,absolute,999 - Bordeaux-Floirac
S,sm0020,1982-1988,813,813,0,relative,874 - Itajuba (Laboratorio Nacional de Astrofisica)
S,sm0021,1990-1994,278,278,0,relative,950 - La Palma - 950
S,sm0022,1995-1997,304,304,0,relative,950 - La Palma
S,sm0023,1998-1999,412,412,0,absolute,689 - Flagstaff
S,sm0024,1999-1999,387,387,0,absolute,689 - Flagstaff
S,sm0025,1984-1984,20,20,0,absolute,"119 - Abastumani, Georgia"
S,sm0026,1984-1984,14,14,0,relative,"119 - Abastumani, Georgia"
S,sm0027,1984-1984,4,4,0,absolute,"119 - Abastumani, Georgia"
S,sm0028,1984-1984,4,4,0,relative,"119 - Abastumani, Georgia"
S,sm0029,1994-1999,290,290,0,relative,084 - Pulkovo
S,sm0030,1995-2000,73,73,0,relative,084 - Pulkovo
S,sm0031,1963-1984,640,640,0,absolute,083 - Golosseevo-Kiev
S,sm0032,1976-1984,44,44,0,absolute,083 - Golosseevo-Kiev
S,sm0033,1998-1998,18,18,0,absolute,808 - El Leoncito
S,sm0034,1874-1989,26145,26393,248,"relative, absolute","077 - Yale-Columbia Station, Johannesburg ;; 078 - Johannesburg;; 084 - Pulkovo;; 089 - Nikolaev;; 094 - Crimea-Simeis;; 097 - Wise Observatory, Mitzpeh Ramon;; 114 - Engelhardt Observatory, Zelenchukskaya Station;; 119 - Abastuman;; 129 - Ordubad;; 136 - Engelhardt Observatory, Kasan;; 286 - Yunnan Observatory;; 387 - Tokyo-Dodaira;; 501 - Herstmonceux;; 536 - Berlin-Babelsberg;; 559 - Serra La Nave;; 673 - Table Mountain Observatory, Wrightwood;; 688 - Lowell Observatory, Anderson Mesa Station;; 690 - Lowell Observatory, Flagstaff;; 702 - Joint Obs. for cometary research, Socorro;; 711 - McDonald Observatory, Fort Davis;; 754 - Yerkes Observatory, Williams Bay;; 780 - Leander McCormick Observatory, Charlottesville;; 786 - U.S. Naval Obs., Washington (since 1893);; 787 - U.S. Naval Obs., Washington (before 1893);; 801 - Oak Ridge Observatory;; 809 - European Southern Observatory, La Silla;; 950 - La Palma;; 999 - Bordeaux-Floirac;; Ordubad.; Observer: Levitskaya T.I.; Telescope: lunar-planet telescope, D=700 mm, F=10313 mm; Bordeaux.; Observers: Soulie G., Dupouy Mr., Teulet Mr., Broqua Mr., Dulou Mr.; Telescope: 33 cm refractor"
S,sm0035,1966-1989,5707,5707,0,absolute,"084 - Pulkovo;; 089 - Nikolaev;; 094 - Crimea-Simeis;; 114 - Engelhardt Observatory, Zelenchukskaya Station;; 119 - Abastuman;; 136 - Engelhardt Observatory, Kasan;; 286 - Yunnan Observatory;; 501 - Herstmonceux;; 673 - Table Mountain Observatory, Wrightwood;; 688 - Lowell Observatory, Anderson Mesa Station;; 711 - McDonald Observatory, Fort Davis;; 780 - Leander McCormick Observatory, Charlottesville;; 809 - European Southern Observatory, La Silla;; 950 - La Palma;; 999 - Bordeaux-Floirac;; Bordeaux.; Observers: Soulie G., Dupouy Mr., Teulet Mr., Broqua Mr., Dulou Mr.; Telescope: 33 cm refractor"
S,sm0036,1874-1984,20686,20686,0,relative,"077 - Yale-Columbia Station, Johannesburg ;; 078 - Johannesburg;; 084 - Pulkovo;; 097 - Wise Observatory, Mitzpeh Ramon;; 119 - Abastuman;; 129 - Ordubad;; 387 - Tokyo-Dodaira;; 536 - Berlin-Babelsberg;; 559 - Serra La Nave;; 690 - Lowell Observatory, Flagstaff;; 702 - Joint Obs. for cometary research, Socorro;; 754 - Yerkes Observatory, Williams Bay;; 780 - Leander McCormick Observatory, Charlottesville;; 786 - U.S. Naval Obs., Washington (since 1893);; 787 - U.S. Naval Obs., Washington (before 1893);; 801 - Oak Ridge Observatory;; 999 - Bordeaux-Floirac;; Ordubad.; Observer: Levitskaya T.I.; Telescope: lunar-planet telescope, D=700 mm, F=10313 mm"
S,sm0037,1973-1986,500,500,0,absolute,089 - Nikolaev
S,sm0038,1990-1997,130,130,0,absolute,089 - Nikolaev
S,sm0039,1995-1995,11408,6006,-5402,relative,874 - Itajuba
S,sm0040,2001-2001,3,3,0,absolute,761 - Zephyrhills
S,sm0041,1996-2000,1311,913,-398,relative,286 - Yunnan Observatory
S,sm0042,1999-2001,182,182,0,relative,084 - Pulkovo
S,sm0043,2000-2001,364,364,0,absolute,689 - Flagstaff
S,sm0044,"1980, 1995-1996",64,64,0,relative,"005 - Meudon; 025 - Stuttgart; 073 - Bucharest; 095 - Crimea-Nauchnij; 130 - Lumezzane; 156 - Catania Astrophysical Observatory; 262 - European Southern Observatory, La Silla-DSS; 387 - Tokyo-Dodaira; 511 - Haute Provence; 559 - Serra La Nave; 586 - Pic du Midi; 780 - Leander McCormick Observatory, Charlottesville; 874 - Itajuba; 999 - Bordeaux-Floirac"
S,sm0045,1995-1999,3165,2059,-1106,relative,"874 - Itajuba (Laboratorio Nacional de Astrofisica, Brazil)"
S,sm0046,1970-1972,776,776,0,relative,388 - Tokyo-Mitaka
S,sm0047,1990-1990,53,53,0,relative,123 - Byurakan
S,sm0048,1977-1977,2,2,0,absolute,"786 - U.S. Naval Obs., Washington"
S,sm0049,1999-2005,1239,1239,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
S,sm0050,2004-2006,321,321,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
S,sm0051,2006-2007,154,154,0,absolute,"689 - U.S. Naval Observatory, Flagstaff"
S,sm0052,1987-1997,730,730,0,absolute,950 - La Palma
S,sm0053,1995-2001,130,130,0,absolute,999 - Bordeaux-Floirac
S,sm0054,1999-2007,216,216,0,absolute,999 - Bordeaux-Floirac
S,sm0055,2002-2006,2154,2154,0,relative,286 - Yunnan Observatory
S,sm0056,1981-1981,8,8,0,absolute,"690 - Lowell Observatory, Flagstaff"
S,sm0057,1990-1990,230,230,0,absolute,188 - Majdanak
S,sm0058,"1972-1984, 2004-2008",1340,1340,0,absolute,084 - Pulkovo
S,sm0059,"1976, 1995, 2004 - 2005",80,80,0,relative,084 - Pulkovo
S,sm0060,1999-2008,2467,2467,0,relative,084 - Pulkovo
S,sm0061,2008-2009,183,183,0,absolute,084 - Pulkovo
S,sm0062,2008-2009,355,355,0,relative,084 - Pulkovo
S,sm0063,2000-2012,2935,2935,0,absolute,689 - Flagstaff
S,sm0064,1972 - 1973,116,116,0,absolute,084 - Pulkovo
S,sm0065,2013 - 2015,456,456,0,absolute,689 - Flagstaff
S,sm0066,2001- 2012,671,671,0,absolute,"673 -Table Mountain Observatory, Wrightwood, California"
S,sm0067,1974-1998,3946,3946,0,absolute,"786 - U.S. Naval Obs., Washington (since 1893)"
S,sm0068,2004-2012,7032,7032,0,absolute,Cassini space probe
S,sm0069,"1875, 1877-1879, 1882-1885",481,481,0,relative,"000 - Royal Observatory, Greenwich"
S,sm0070,2009-2010,2,2,0,relative,286 - Yunnan Observatory
S,sm0071,1987-1988,92,92,0,absolute,286 - Yunnan Observatory; 334 - Tsingtao
S,sm0072,2008-2009,26,26,0,relative,see below
S,sm0073,2005-2012,2303,2303,0,absolute,Cassini space probe
S,sm0074,1961-1990,1384,1384,0,absolute,083 - Golosseevo-Kiev; 186 - Kitab; 188 - Majdanak
S,sm0075,1972-1974,375,375,0,absolute,084 - Pulkovo
S,sm0076,1990-1992,51,51,0,relative,248 - Hipparcos
S,sm0077,1990-1992,19,19,0,absolute,248 - Hipparcos
S,sm0078,2013-2016,260,260,0,absolute,Cassini space probe
S,sm0079,1961-1990,1398,1398,0,absolute,083 - Golosseevo-Kiev; 186 - Kitab; 188 - Majdanak
S,sm0080,1983-1990,27,27,0,absolute,186 - Kitab
S,sm0081,2019,11,11,0,absolute,"G40 - Slooh.com Canary Islands Observatory; T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa"
S,sm0082,2019-2020,21,21,0,absolute,"T05 - ATLAS-HKO, Haleakala; T08 - ATLAS-MLO, Mauna Loa; W84 - Cerro Tololo-DECam"
S,sm0083,2020,9,9,0,absolute,C51 - WISE (satellite)
S,sm0084,1972-2007,6487,6487,0,absolute,084 - Pulkovo; 119 - Abastuman
S,sm0085,2014-2017,1865,1865,0,absolute,258 - Gaia
S,sm0086,2004-2014,3169,3169,0,absolute,337 - Sheshan station of Shanghai Observatory
S,sm0087,2014-2019,4685,4685,0,absolute,258 - Gaia
S,sm0088,2022-2023,67,67,0,absolute,"M22 - ATLAS South Africa, Sutherland; T08 - ATLAS-MLO, Mauna Loa; W68 - ATLAS Chile, Rio Hurtado"
