[Year],[M],[D],[H],[M],[S],[alpha],[dec]
[1903],[11],[28],[0],[0],[0.00],[23.1320653999],[-7.034368359]
[1903],[11],[29],[0],[0],[0.00],[23.1398849692],[-6.978869873]
[1903],[11],[30],[0],[0],[0.00],[23.1405341063],[-6.971595205]
[1903],[12],[1],[0],[0],[0.00],[23.1468887542],[-6.927908934]
[1903],[12],[2],[0],[0],[0.00],[23.1506760131],[-6.898250833]
[1903],[12],[3],[0],[0],[0.00],[23.1542414954],[-6.874422823]
[1903],[12],[4],[0],[0],[0.00],[23.1615064145],[-6.821326087]
[1903],[12],[5],[0],[0],[0.00],[23.1629583204],[-6.811403739]
[1903],[12],[6],[0],[0],[0.00],[23.1720903984],[-6.747057434]
[1903],[12],[7],[0],[0],[0.00],[23.1736531954],[-6.734981355]
[1903],[12],[8],[0],[0],[0.00],[23.1821356377],[-6.676957191]
[1903],[12],[9],[0],[0],[0.00],[23.1861738320],[-6.646703174]
[1903],[12],[10],[0],[0],[0.00],[23.1921693110],[-6.606905077]
[1903],[12],[11],[0],[0],[0.00],[23.1996957055],[-6.552587094]
[1903],[12],[12],[0],[0],[0.00],[23.2031695780],[-6.529986034]
[1903],[12],[13],[0],[0],[0.00],[23.2132197081],[-6.459484999]
[1903],[12],[14],[0],[0],[0.00],[23.2159312669],[-6.440946591]
[1903],[12],[15],[0],[0],[0.00],[23.2261983050],[-6.370774486]
[1903],[12],[16],[0],[0],[0.00],[23.2305826891],[-6.339369442]
[1903],[12],[17],[0],[0],[0.00],[23.2388797151],[-6.284225708]
[1903],[12],[18],[0],[0],[0.00],[23.2465118179],[-6.229898786]
[1903],[12],[19],[0],[0],[0.00],[23.2521219074],[-6.193603200]
[1903],[12],[20],[0],[0],[0.00],[23.2627313455],[-6.119465809]
[1903],[12],[21],[0],[0],[0.00],[23.2668243418],[-6.092764489]
[1903],[12],[22],[0],[0],[0.00],[23.2784885950],[-6.012993466]
[1903],[12],[23],[0],[0],[0.00],[23.2833696021],[-5.979452756]
[1903],[12],[24],[0],[0],[0.00],[23.2937398617],[-5.910276907]
[1903],[12],[25],[0],[0],[0.00],[23.3013945274],[-5.856636938]
[1903],[12],[26],[0],[0],[0.00],[23.3091556595],[-5.806255063]
[1903],[12],[27],[0],[0],[0.00],[23.3200022710],[-5.730766514]
[1903],[12],[28],[0],[0],[0.00],[23.3256643757],[-5.694413570]
[1903],[12],[29],[0],[0],[0.00],[23.3383075672],[-5.607835251]
[1903],[12],[30],[0],[0],[0.00],[23.3438644010],[-5.570885219]
[1903],[12],[31],[0],[0],[0.00],[23.3559921326],[-5.489599905]
[1904],[1],[1],[0],[0],[0.00],[23.3636617203],[-5.436779259]
[1904],[1],[2],[0],[0],[0.00],[23.3734914723],[-5.372553181]
[1904],[1],[3],[0],[0],[0.00],[23.3843201537],[-5.297554144]
[1904],[1],[4],[0],[0],[0.00],[23.3916868703],[-5.250350361]
[1904],[1],[5],[0],[0],[0.00],[23.4049028624],[-5.159730930]
[1904],[1],[6],[0],[0],[0.00],[23.4113379141],[-5.117870009]
[1904],[1],[7],[0],[0],[0.00],[23.4248569211],[-5.026806588]
[1904],[1],[8],[0],[0],[0.00],[23.4326186612],[-4.974329480]
[1904],[1],[9],[0],[0],[0.00],[23.4443561291],[-4.897074676]
[1904],[1],[10],[0],[0],[0.00],[23.4550084504],[-4.823785116]
[1904],[1],[11],[0],[0],[0.00],[23.4641628429],[-4.764889248]
[1904],[1],[12],[0],[0],[0.00],[23.4775989081],[-4.672728969]
[1904],[1],[13],[0],[0],[0.00],[23.4851274767],[-4.624346024]
[1904],[1],[14],[0],[0],[0.00],[23.4996553599],[-4.526062877]
[1904],[1],[15],[0],[0],[0.00],[23.5076630684],[-4.472919427]
[1904],[1],[16],[0],[0],[0.00],[23.5210782897],[-4.384005652]
[1904],[1],[17],[0],[0],[0.00],[23.5314930615],[-4.313006561]
[1904],[1],[18],[0],[0],[0.00],[23.5424442740],[-4.242099418]
[1904],[1],[19],[0],[0],[0.00],[23.5558082125],[-4.150548691]
[1904],[1],[20],[0],[0],[0.00],[23.5646162853],[-4.094189777]
[1904],[1],[21],[0],[0],[0.00],[23.5797590364],[-3.991402073]
[1904],[1],[22],[0],[0],[0.00],[23.5882014960],[-3.936278576]
[1904],[1],[23],[0],[0],[0.00],[23.6029885776],[-3.837648747]
[1904],[1],[24],[0],[0],[0.00],[23.6131803403],[-3.768964233]
[1904],[1],[25],[0],[0],[0.00],[23.6258426252],[-3.686378987]
[1904],[1],[26],[0],[0],[0.00],[23.6389075621],[-3.597155233]
[1904],[1],[27],[0],[0],[0.00],[23.6491231480],[-3.531715734]
[1904],[1],[28],[0],[0],[0.00],[23.6644971074],[-3.427126354]
[1904],[1],[29],[0],[0],[0.00],[23.6735751421],[-3.368558081]
[1904],[1],[30],[0],[0],[0.00],[23.6893747336],[-3.262588866]
[1904],[1],[31],[0],[0],[0.00],[23.6994301605],[-3.195703021]
[1904],[2],[1],[0],[0],[0.00],[23.7136330001],[-3.102392534]
[1904],[2],[2],[0],[0],[0.00],[23.7262583090],[-3.016631926]
[1904],[2],[3],[0],[0],[0.00],[23.7379476927],[-2.941424817]
[1904],[2],[4],[0],[0],[0.00],[23.7532180282],[-2.837470881]
[1904],[2],[5],[0],[0],[0.00],[23.7631369550],[-2.773929395]
[1904],[2],[6],[0],[0],[0.00],[23.7795767397],[-2.663187685]
[1904],[2],[7],[0],[0],[0.00],[23.7896572484],[-2.597050584]
[1904],[2],[8],[0],[0],[0.00],[23.8051716101],[-2.494461868]
[1904],[2],[9],[0],[0],[0.00],[23.8173224518],[-2.412600147]
[1904],[2],[10],[0],[0],[0.00],[23.8304929044],[-2.327394958]
[1904],[2],[11],[0],[0],[0.00],[23.8454031498],[-2.226054921]
[1904],[2],[12],[0],[0],[0.00],[23.8563539064],[-2.156113430]
[1904],[2],[13],[0],[0],[0.00],[23.8730712396],[-2.043205741]
[1904],[2],[14],[0],[0],[0.00],[23.8833843998],[-1.976425112]
[1904],[2],[15],[0],[0],[0.00],[23.8999225635],[-1.866496271]
[1904],[2],[16],[0],[0],[0.00],[23.9116463678],[-1.788384393]
[1904],[2],[17],[0],[0],[0.00],[23.9262187360],[-1.693578011]
[1904],[2],[18],[0],[0],[0.00],[23.9405814550],[-1.596367733]
[1904],[2],[19],[0],[0],[0.00],[23.9526966735],[-1.518971902]
[1904],[2],[20],[0],[0],[0.00],[23.9693420217],[-1.406458598]
[1904],[2],[21],[0],[0],[0.00],[23.9801014946],[-1.337535408]
[1904],[2],[22],[0],[0],[0.00],[23.9973236593],[-1.222615383]
[1904],[2],[23],[0],[0],[0.00],[0.0087320234],[-1.147604033]
[1904],[2],[24],[0],[0],[0.00],[0.0245398346],[-1.044224019]
[1904],[2],[25],[0],[0],[0.00],[0.0382460514],[-0.952101552]
[1904],[2],[26],[0],[0],[0.00],[0.0515878004],[-0.866671839]
[1904],[2],[27],[0],[0],[0.00],[0.0678527851],[-0.756861767]
[1904],[2],[28],[0],[0],[0.00],[0.0792614876],[-0.684327739]
[1904],[2],[29],[0],[0],[0.00],[0.0968057543],[-0.566979856]
[1904],[3],[1],[0],[0],[0.00],[0.1080665737],[-0.493987577]
[1904],[3],[2],[0],[0],[0.00],[0.1248736566],[-0.383601535]
[1904],[3],[3],[0],[0],[0.00],[0.1379046310],[-0.296892722]
[1904],[3],[4],[0],[0],[0.00],[0.1524653149],[-0.203361733]
[1904],[3],[5],[0],[0],[0.00],[0.1681138828],[-0.098105981]
[1904],[3],[6],[0],[0],[0.00],[0.1803551768],[-0.020628307]
[1904],[3],[7],[0],[0],[0.00],[0.1978759420],[0.096615431]
[1904],[3],[8],[0],[0],[0.00],[0.2092074987],[0.169030137]
[1904],[3],[9],[0],[0],[0.00],[0.2267355766],[0.284476105]
[1904],[3],[10],[0],[0],[0.00],[0.2391682805],[0.366106205]
[1904],[3],[11],[0],[0],[0.00],[0.2548731291],[0.467284503]
[1904],[3],[12],[0],[0],[0.00],[0.2697561505],[0.566709009]
[1904],[3],[13],[0],[0],[0.00],[0.2829691818],[0.650150687]
[1904],[3],[14],[0],[0],[0.00],[0.3001495500],[0.764910745]
[1904],[3],[15],[0],[0],[0.00],[0.3117808892],[0.838299578]
[1904],[3],[16],[0],[0],[0.00],[0.3297074467],[0.956510111]
[1904],[3],[17],[0],[0],[0.00],[0.3416794612],[1.033865370]
[1904],[3],[18],[0],[0],[0.00],[0.3583647606],[1.141604980]
[1904],[3],[19],[0],[0],[0.00],[0.3724044124],[1.234448116]
[1904],[3],[20],[0],[0],[0.00],[0.3866487480],[1.324344790]
[1904],[3],[21],[0],[0],[0.00],[0.4032062777],[1.434483845]
[1904],[3],[22],[0],[0],[0.00],[0.4153430846],[1.510287752]
[1904],[3],[23],[0],[0],[0.00],[0.4333179304],[1.628758515]
[1904],[3],[24],[0],[0],[0.00],[0.4450102469],[1.702999966]
[1904],[3],[25],[0],[0],[0.00],[0.4624358360],[1.815668392]
[1904],[3],[26],[0],[0],[0.00],[0.4756332730],[1.901763369]
[1904],[3],[27],[0],[0],[0.00],[0.4908884414],[1.998052832]
[1904],[3],[28],[0],[0],[0.00],[0.5066037346],[2.101872509]
[1904],[3],[29],[0],[0],[0.00],[0.5194181040],[2.181321045]
[1904],[3],[30],[0],[0],[0.00],[0.5370994824],[2.297578033]
[1904],[3],[31],[0],[0],[0.00],[0.5487290865],[2.370142149]
[1904],[4],[1],[0],[0],[0.00],[0.5666063103],[2.485729491]
[1904],[4],[2],[0],[0],[0.00],[0.5790492247],[2.565518790]
[1904],[4],[3],[0],[0],[0.00],[0.5952243877],[2.667616404]
[1904],[4],[4],[0],[0],[0.00],[0.6099658672],[2.764008383]
[1904],[4],[5],[0],[0],[0.00],[0.6235879149],[2.848023966]
[1904],[4],[6],[0],[0],[0.00],[0.6406741900],[2.959830651]
[1904],[4],[7],[0],[0],[0.00],[0.6524769623],[3.032287134]
[1904],[4],[8],[0],[0],[0.00],[0.6704898719],[3.148552580]
[1904],[4],[9],[0],[0],[0.00],[0.6823383700],[3.222993012]
[1904],[4],[10],[0],[0],[0.00],[0.6992687825],[3.329782448]
[1904],[4],[11],[0],[0],[0.00],[0.7129879588],[3.418228368]
[1904],[4],[12],[0],[0],[0.00],[0.7274759041],[3.507250066]
[1904],[4],[13],[0],[0],[0.00],[0.7437082656],[3.612679550]
[1904],[4],[14],[0],[0],[0.00],[0.7558958713],[3.686473677]
[1904],[4],[15],[0],[0],[0.00],[0.7737033523],[3.801016947]
[1904],[4],[16],[0],[0],[0.00],[0.7851541192],[3.871372284]
[1904],[4],[17],[0],[0],[0.00],[0.8025941394],[3.981199965]
[1904],[4],[18],[0],[0],[0.00],[0.8153123177],[4.061710820]
[1904],[4],[19],[0],[0],[0.00],[0.8306334378],[4.155582782]
[1904],[4],[20],[0],[0],[0.00],[0.8458066590],[4.253110129]
[1904],[4],[21],[0],[0],[0.00],[0.8585416817],[4.329390127]
[1904],[4],[22],[0],[0],[0.00],[0.8758009993],[4.439819188]
[1904],[4],[23],[0],[0],[0.00],[0.8870694834],[4.507523247]
[1904],[4],[24],[0],[0],[0.00],[0.9047130887],[4.618333849]
[1904],[4],[25],[0],[0],[0.00],[0.9165226897],[4.691439525]
[1904],[4],[26],[0],[0],[0.00],[0.9325604773],[4.789443668]
[1904],[4],[27],[0],[0],[0.00],[0.9465468543],[4.878089147]
[1904],[4],[28],[0],[0],[0.00],[0.9599378499],[4.957645162]
[1904],[4],[29],[0],[0],[0.00],[0.9763430522],[5.061817212]
[1904],[4],[30],[0],[0],[0.00],[0.9876572315],[5.128396208]
[1904],[5],[1],[0],[0],[0.00],[1.0051745358],[5.237959362]
[1904],[5],[2],[0],[0],[0.00],[1.0162429711],[5.304699731]
[1904],[5],[3],[0],[0],[0.00],[1.0328153762],[5.405659430]
[1904],[5],[4],[0],[0],[0.00],[1.0455817058],[5.485079902]
[1904],[5],[5],[0],[0],[0.00],[1.0596756541],[5.568280586]
[1904],[5],[6],[0],[0],[0.00],[1.0749794935],[5.664448860]
[1904],[5],[7],[0],[0],[0.00],[1.0865521731],[5.731337056]
[1904],[5],[8],[0],[0],[0.00],[1.1036017578],[5.837355440]
[1904],[5],[9],[0],[0],[0.00],[1.1141386743],[5.899081095]
[1904],[5],[10],[0],[0],[0.00],[1.1309889995],[6.001345167]
[1904],[5],[11],[0],[0],[0.00],[1.1425740703],[6.071719970]
[1904],[5],[12],[0],[0],[0.00],[1.1573250438],[6.158353607]
[1904],[5],[13],[0],[0],[0.00],[1.1713337713],[6.245176712]
[1904],[5],[14],[0],[0],[0.00],[1.1833212350],[6.313481350]
[1904],[5],[15],[0],[0],[0.00],[1.1995579483],[6.413683297]
[1904],[5],[16],[0],[0],[0.00],[1.2097825067],[6.471859117]
[1904],[5],[17],[0],[0],[0.00],[1.2265881413],[6.573387832]
[1904],[5],[18],[0],[0],[0.00],[1.2370928341],[6.635354742]
[1904],[5],[19],[0],[0],[0.00],[1.2523605452],[6.724630110]
[1904],[5],[20],[0],[0],[0.00],[1.2649488885],[6.801260287]
[1904],[5],[21],[0],[0],[0.00],[1.2774377961],[6.871667503]
[1904],[5],[22],[0],[0],[0.00],[1.2925427715],[6.963989842]
[1904],[5],[23],[0],[0],[0.00],[1.3026687265],[7.020073477]
[1904],[5],[24],[0],[0],[0.00],[1.3190707465],[7.118617320]
[1904],[5],[25],[0],[0],[0.00],[1.3286556924],[7.173222687]
[1904],[5],[26],[0],[0],[0.00],[1.3442221346],[7.263860141]
[1904],[5],[27],[0],[0],[0.00],[1.3553520567],[7.330027467]
[1904],[5],[28],[0],[0],[0.00],[1.3683601183],[7.402784412]
[1904],[5],[29],[0],[0],[0.00],[1.3820764948],[7.485572520]
[1904],[5],[30],[0],[0],[0.00],[1.3923038637],[7.540935231]
[1904],[5],[31],[0],[0],[0.00],[1.4079438992],[7.634256823]
[1904],[6],[1],[0],[0],[0.00],[1.4168228784],[7.682892111]
[1904],[6],[2],[0],[0],[0.00],[1.4324111547],[7.773248647]
[1904],[6],[3],[0],[0],[0.00],[1.4421336292],[7.829265633]
